method,seed,split,accuracy,macro_f1,pr_auc,benign_f1,recon_f1,foothold_f1,lm_f1,de_f1,threshold_source,uncertainty_threshold,recon_rescue_threshold,de_keep_threshold,override_rate,uncertain_override_rate,recon_rescue_rate,protected_de_rate,shuffle_seed,accuracy_delta_vs_frozen,macro_f1_delta_vs_frozen,pr_auc_delta_vs_frozen,recon_f1_delta_vs_frozen,de_f1_delta_vs_frozen
locked_hybrid_bn_shuffled_stream,46,test_shuffle_bn_order,0.8932730115835977,0.7686060960876009,0.7850103424630576,0.9366129612601447,0.1554045390434671,0.9904942965779467,0.9742830214083749,0.786235662148071,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,0.02123912614431675,0.026917062654663045,0.023136832197239977,0.02445763561007454,10046.0,0.005860116291426909,0.03096778279166157,-0.021762265124945723,0.1542565981624225,-0.0036670462400436588
frozen,47,val,0.7429143909769577,0.7326412852605755,0.7724499184905211,0.7657360361776056,0.6111904831326355,0.7742820559721968,0.9954491615235957,0.5165486894968433,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
locked_hybrid,47,val,0.7645671072617394,0.745859235177862,0.7627643608144653,0.7831962291879492,0.6699658038866801,0.7670110769803593,0.9921240155019377,0.5169990503323837,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,0.03711663381055489,0.0149145202469056,0.02827780111818505,0.04805610315741848,,0.021652716284781715,0.013217949917286531,-0.009685557676055834,0.05877532075404468,0.00045036083554039763
frozen,47,test,0.8804748819626835,0.6589676975947631,0.8125859510455398,0.9243499737461348,0.0013452160753321001,0.9898782223628024,0.980498374864572,0.3987667009249743,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
locked_hybrid,47,test,0.9205847970972688,0.8195544308682191,0.8512833209997058,0.9486461251167133,0.5718555989882732,0.9900300680487419,0.977140538347085,0.6100998238402818,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,0.05081297727307231,0.024943448359622887,0.04211389272647224,0.011037058403801484,,0.04010991513458528,0.16058673327345596,0.03869736995416606,0.5705103829129411,0.21133312291530754
frozen,47,test_shuffle_bn_order,0.8804748819626835,0.6589676975947631,0.8125859510455398,0.9243499737461348,0.0013452160753321001,0.9898782223628024,0.980498374864572,0.3987667009249743,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
locked_hybrid_bn_shuffled_stream,47,test_shuffle_bn_order,0.9006512927173632,0.7380621822877982,0.7988068759441924,0.9388305252725471,0.3799847599695199,0.9904219108683606,0.9788961038961039,0.40217761143246,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,0.03385507598415036,0.024943448359622887,0.03159301036906587,0.011037058403801484,10047.0,0.020176410754679686,0.07909448469303504,-0.013779075101347349,0.3786395438941878,0.0034109105074857093
frozen,48,val,0.7872216656432796,0.7408437118398747,0.7714495496130025,0.798411195872079,0.7141787051899412,0.8297821402920756,0.9885874649204864,0.3732590529247911,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
locked_hybrid,48,val,0.7593478331124972,0.7278110444433811,0.7368920257400194,0.776407331383626,0.69801727152888,0.6878317476214322,0.9812456877626544,0.49555318392031306,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,0.09965097114048412,0.12248327570048154,0.0048637817923278285,0.02740522896939534,,-0.02787383253078235,-0.013032667396493669,-0.034557523872983054,-0.016161433661061153,0.12229413099552194
frozen,48,test,0.8864260881446507,0.7529048281382914,0.779607425708481,0.9331494826683844,0.1919921635851598,0.9810166300596171,0.9636823200744978,0.6946835443037974,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
