seed,target_stage,method,point_type,precision,recall,average_precision
42,Reconnaissance,frozen,curve,0.10501758667719474,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10522530298126372,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10543194306819205,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10563939634630659,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1058476676253007,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10605676175287253,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10626668361510105,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10647743813682678,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10668903028203679,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1069014650542545,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10711474749693409,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10732888269385958,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10754387576954884,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10775973188966229,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10797645626141668,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10819405413400385,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10841253079901443,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10863390818467022,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10885416666666667,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10907735321528425,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10929941540128126,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10952238359035783,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10974626333852183,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.10997106024730334,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11019677996422182,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11042342818325912,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11065101064533818,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11087953313880784,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11110900149993355,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11133942161339422,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11157079941278526,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11180314088112797,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11203645205138514,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11227289296471807,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1125103339549728,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11274878138065238,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11298606016140866,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11322433975041114,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11346362649294245,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11370392678803894,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1139452470890611,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1141875939042713,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11443097379741884,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11467539338833259,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11492085935352107,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11516737842678054,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11541495739981067,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11566360312283823,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11591332250524898,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11616412251622764,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11641832613842083,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11667131863311934,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11692541309516674,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11718296321512245,1.0,0.4012734738777736
