seed,split,from_stage,to_stage,true_stage,count,fraction_of_rows,fraction_of_overrides
43,test_shuffle_bn_order,Lateral Movement,Benign,Benign,2,3.036329684677162e-05,0.0012911555842479018
43,test_shuffle_bn_order,Lateral Movement,Benign,Reconnaissance,1,1.518164842338581e-05,0.0006455777921239509
43,test_shuffle_bn_order,Lateral Movement,Reconnaissance,Benign,5,7.590824211692905e-05,0.0032278889606197547
43,test_shuffle_bn_order,Lateral Movement,Reconnaissance,Lateral Movement,5,7.590824211692905e-05,0.0032278889606197547
43,test_shuffle_bn_order,Lateral Movement,Lateral Movement,Benign,25,0.00037954121058464527,0.016139444803098774
43,test_shuffle_bn_order,Lateral Movement,Data Exfiltration,Benign,3,4.554494527015743e-05,0.001936733376371853
44,test,Benign,Benign,Benign,10,0.0001518164842338581,0.00370919881305638
44,test,Benign,Benign,Lateral Movement,1,1.518164842338581e-05,0.000370919881305638
44,test,Benign,Benign,Data Exfiltration,2,3.036329684677162e-05,0.000741839762611276
44,test,Benign,Reconnaissance,Benign,387,0.005875297939850309,0.1435459940652819
44,test,Benign,Reconnaissance,Reconnaissance,1917,0.029103220027630602,0.711053412462908
44,test,Benign,Reconnaissance,Lateral Movement,1,1.518164842338581e-05,0.000370919881305638
44,test,Benign,Reconnaissance,Data Exfiltration,3,4.554494527015743e-05,0.001112759643916914
44,test,Benign,Establish Foothold,Benign,3,4.554494527015743e-05,0.001112759643916914
44,test,Benign,Lateral Movement,Benign,8,0.00012145318738708648,0.002967359050445104
44,test,Benign,Data Exfiltration,Benign,12,0.00018217978108062973,0.004451038575667656
44,test,Benign,Data Exfiltration,Establish Foothold,2,3.036329684677162e-05,0.000741839762611276
44,test,Benign,Data Exfiltration,Data Exfiltration,185,0.002808604958326375,0.06862017804154302
44,test,Reconnaissance,Benign,Benign,1,1.518164842338581e-05,0.000370919881305638
44,test,Reconnaissance,Reconnaissance,Benign,29,0.00044026780427818853,0.010756676557863502
44,test,Reconnaissance,Reconnaissance,Reconnaissance,4,6.072659369354324e-05,0.001483679525222552
44,test,Reconnaissance,Lateral Movement,Benign,3,4.554494527015743e-05,0.001112759643916914
44,test,Reconnaissance,Data Exfiltration,Benign,16,0.00024290637477417297,0.005934718100890208
44,test,Reconnaissance,Data Exfiltration,Establish Foothold,1,1.518164842338581e-05,0.000370919881305638
44,test,Establish Foothold,Benign,Benign,5,7.590824211692905e-05,0.00185459940652819
44,test,Establish Foothold,Benign,Data Exfiltration,1,1.518164842338581e-05,0.000370919881305638
44,test,Establish Foothold,Establish Foothold,Benign,6,9.108989054031487e-05,0.002225519287833828
44,test,Establish Foothold,Lateral Movement,Benign,1,1.518164842338581e-05,0.000370919881305638
44,test,Establish Foothold,Data Exfiltration,Benign,2,3.036329684677162e-05,0.000741839762611276
44,test,Establish Foothold,Data Exfiltration,Establish Foothold,3,4.554494527015743e-05,0.001112759643916914
44,test,Lateral Movement,Benign,Benign,5,7.590824211692905e-05,0.00185459940652819
44,test,Lateral Movement,Benign,Lateral Movement,1,1.518164842338581e-05,0.000370919881305638
44,test,Lateral Movement,Reconnaissance,Benign,1,1.518164842338581e-05,0.000370919881305638
44,test,Lateral Movement,Reconnaissance,Lateral Movement,77,0.0011689869286007075,0.028560830860534125
44,test,Lateral Movement,Lateral Movement,Benign,7,0.00010627153896370068,0.0025964391691394658
44,test,Lateral Movement,Data Exfiltration,Benign,2,3.036329684677162e-05,0.000741839762611276
44,test_shuffle_bn_order,Benign,Benign,Benign,14,0.00021254307792740136,0.00841852074564041
44,test_shuffle_bn_order,Benign,Benign,Establish Foothold,2,3.036329684677162e-05,0.0012026458208057728
44,test_shuffle_bn_order,Benign,Reconnaissance,Benign,291,0.004417859691205271,0.17498496692723992
44,test_shuffle_bn_order,Benign,Reconnaissance,Reconnaissance,1056,0.016031820735095417,0.634996993385448
44,test_shuffle_bn_order,Benign,Reconnaissance,Lateral Movement,1,1.518164842338581e-05,0.0006013229104028864
44,test_shuffle_bn_order,Benign,Lateral Movement,Benign,2,3.036329684677162e-05,0.0012026458208057728
44,test_shuffle_bn_order,Benign,Data Exfiltration,Benign,13,0.00019736142950401553,0.007817197835237523
44,test_shuffle_bn_order,Benign,Data Exfiltration,Lateral Movement,1,1.518164842338581e-05,0.0006013229104028864
44,test_shuffle_bn_order,Benign,Data Exfiltration,Data Exfiltration,190,0.0028845132004433043,0.11425135297654841
44,test_shuffle_bn_order,Reconnaissance,Reconnaissance,Benign,49,0.0007439007727459047,0.029464822609741433
44,test_shuffle_bn_order,Reconnaissance,Reconnaissance,Reconnaissance,4,6.072659369354324e-05,0.0024052916416115455
