study,contrast,condition,budget,rows,metric,baseline_mean,candidate_mean,delta_mean,seed_count
PX081,harm_minus_entropy,delayed_unavailable,2,208094,OtherAttackStage.wrong_attack_stage_count,340.0,342.3333333333333,2.3333333333333144,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,OtherAttackStage.stage_f1,0.983977301655275,0.9838812252968231,-9.607635845187978e-05,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,LateralMovement.exact_stage_recall,0.7619047619047619,0.7428571428571429,-0.01904761904761898,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,LateralMovement.warning_recall,0.7619047619047619,0.7428571428571429,-0.01904761904761898,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,LateralMovement.attack_to_benign_count,8.333333333333334,9.0,0.6666666666666661,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,LateralMovement.wrong_attack_stage_count,0.0,0.0,0.0,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,LateralMovement.stage_f1,0.13396268473367273,0.2786709724961529,0.14470828776248018,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,DataExfiltration.exact_stage_recall,0.674414100329266,0.6742204144877011,-0.00019368584156487234,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,DataExfiltration.warning_recall,0.8140615920976177,0.674607786170831,-0.1394538059267868,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,DataExfiltration.attack_to_benign_count,640.0,1120.0,480.0,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,DataExfiltration.wrong_attack_stage_count,480.6666666666667,1.3333333333333333,-479.33333333333337,3
PX081,harm_minus_entropy,delayed_unavailable,2,208094,DataExfiltration.stage_f1,0.7591432824397556,0.7584296186712107,-0.0007136637685448699,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,macro_f1,0.717966057113899,0.7426522128368065,0.024686155722907444,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,benign_false_alert_rate,0.0007492468508218303,0.0007613874247934801,1.2140573971649833e-05,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,benign_false_alert_count,144.0,146.33333333333334,2.333333333333343,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,attack_to_benign_count,710.3333333333334,1115.6666666666667,405.33333333333337,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,wrong_attack_stage_count,806.6666666666666,403.0,-403.66666666666663,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,OtherAttackStage.exact_stage_recall,0.9688237819274522,0.9686896329684482,-0.00013414895900398793,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,OtherAttackStage.warning_recall,0.9961633397724835,0.996216999356085,5.365958360148415e-05,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,OtherAttackStage.attack_to_benign_count,47.666666666666664,47.0,-0.6666666666666643,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,OtherAttackStage.wrong_attack_stage_count,339.6666666666667,342.0,2.3333333333333144,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,OtherAttackStage.stage_f1,0.9839772971654125,0.9838812028383588,-9.609432705370846e-05,3
