configuration_id,study,dataset,condition,arm,perturbation_seed,source_record_index,threshold,original_calibration_status,rows,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error,negative_support,negative_flags,negative_flag_rate,negative_definition
PX083-native-0000,PX083-original-threshold-supplement,casino,clean,semantic_event,20260920,0,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.7,0.8235294117647058,0.7567567567567568,0.8674180483004013,0.960719171389486,6,0.006644518272425249,0.01956521739130435,903,6,0.006644518272425249,Other author technique labels; not verified benign
PX083-native-0019,PX083-original-threshold-supplement,casino,random_50,entity_context,20260922,19,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.22058823529411764,0.8823529411764706,0.35294117647058826,0.7240673667590735,0.9752459123184157,53,0.058693244739756366,0.06630434782608696,903,53,0.058693244739756366,Other author technique labels; not verified benign
PX083-native-0020,PX083-original-threshold-supplement,casino,random_50,mixed_dropout,20260922,20,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.34146341463414637,0.8235294117647058,0.4827586206896552,0.7668923147950835,0.9697088137580614,27,0.029900332225913623,0.042391304347826085,903,27,0.029900332225913623,Other author technique labels; not verified benign
PX083-native-0021,PX083-original-threshold-supplement,casino,random_75,semantic_event,20260920,21,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.0625,0.5294117647058824,0.11180124223602485,0.39260941305993563,0.7441534753436259,135,0.14950166112956811,0.1815217391304348,903,135,0.14950166112956811,Other author technique labels; not verified benign
PX083-native-0022,PX083-original-threshold-supplement,casino,random_75,entity_context,20260920,22,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.08080808080808081,0.47058823529411764,0.13793103448275862,0.45776902611420917,0.7438929059996091,91,0.10077519379844961,0.13804347826086957,903,91,0.10077519379844961,Other author technique labels; not verified benign
PX083-native-0023,PX083-original-threshold-supplement,casino,random_75,mixed_dropout,20260920,23,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.14814814814814814,0.47058823529411764,0.22535211267605634,0.4947104036681211,0.7666927236010684,46,0.05094130675526024,0.0891304347826087,903,46,0.05094130675526024,Other author technique labels; not verified benign
PX083-native-0024,PX083-original-threshold-supplement,casino,random_75,semantic_event,20260921,24,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.09523809523809523,0.7058823529411765,0.16783216783216784,0.5015141782662651,0.792717086834734,114,0.12624584717607973,0.14565217391304347,903,114,0.12624584717607973,Other author technique labels; not verified benign
PX083-native-0025,PX083-original-threshold-supplement,casino,random_75,entity_context,20260921,25,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.12359550561797752,0.6470588235294118,0.20754716981132076,0.5474870892372454,0.798547325907107,78,0.08637873754152824,0.1108695652173913,903,78,0.08637873754152824,Other author technique labels; not verified benign
PX083-native-0026,PX083-original-threshold-supplement,casino,random_75,mixed_dropout,20260921,26,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.2222222222222222,0.5882352941176471,0.3225806451612903,0.5379471113333646,0.809230669011791,35,0.03875968992248062,0.06847826086956521,903,35,0.03875968992248062,Other author technique labels; not verified benign
PX083-native-0027,PX083-original-threshold-supplement,casino,random_75,semantic_event,20260922,27,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.1095890410958904,0.9411764705882353,0.19631901840490798,0.6282702711279106,0.924109178555143,130,0.14396456256921372,0.14565217391304347,903,130,0.14396456256921372,Other author technique labels; not verified benign
PX083-native-0028,PX083-original-threshold-supplement,casino,random_75,entity_context,20260922,28,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.14814814814814814,0.9411764705882353,0.256,0.7291508656662626,0.9332291055957267,92,0.10188261351052048,0.10434782608695652,903,92,0.10188261351052048,Other author technique labels; not verified benign
PX083-native-0029,PX083-original-threshold-supplement,casino,random_75,mixed_dropout,20260922,29,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.21212121212121213,0.8235294117647058,0.3373493975903614,0.7560014864362691,0.9258680216272557,52,0.05758582502768549,0.06956521739130435,903,52,0.05758582502768549,Other author technique labels; not verified benign
PX083-native-0030,PX083-original-threshold-supplement,casino,support_burst_60,semantic_event,20260920,30,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.7,0.8235294117647058,0.7567567567567568,0.8674180483004013,0.960719171389486,6,0.006644518272425249,0.01956521739130435,903,6,0.006644518272425249,Other author technique labels; not verified benign
PX083-native-0031,PX083-original-threshold-supplement,casino,support_burst_60,entity_context,20260920,31,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.4838709677419355,0.8823529411764706,0.625,0.8499592386998316,0.9646928538857403,16,0.017718715393133997,0.02608695652173913,903,16,0.017718715393133997,Other author technique labels; not verified benign
PX083-native-0032,PX083-original-threshold-supplement,casino,support_burst_60,mixed_dropout,20260920,32,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.42424242424242425,0.8235294117647058,0.56,0.8161339207800307,0.956484919549215,19,0.021040974529346623,0.03369565217391304,903,19,0.021040974529346623,Other author technique labels; not verified benign
PX083-native-0033,PX083-original-threshold-supplement,casino,command_records_absent,semantic_event,20260920,33,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.671435855944523,0.9414044687642499,29,0.03211517165005537,0.05326086956521739,903,29,0.03211517165005537,Other author technique labels; not verified benign
PX083-native-0034,PX083-original-threshold-supplement,casino,command_records_absent,entity_context,20260920,34,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.3142857142857143,0.6470588235294118,0.4230769230769231,0.6318686814605169,0.9478535600286627,24,0.026578073089700997,0.05217391304347826,903,24,0.026578073089700997,Other author technique labels; not verified benign
PX083-native-0035,PX083-original-threshold-supplement,casino,command_records_absent,mixed_dropout,20260920,35,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.16883116883116883,0.7647058823529411,0.2765957446808511,0.6938520721519061,0.9415347534362583,64,0.07087486157253599,0.08695652173913043,903,64,0.07087486157253599,Other author technique labels; not verified benign
PX083-native-0036,PX083-original-threshold-supplement,casino,delay_30_deadline_0,semantic_event,20260920,36,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.671435855944523,0.9414044687642499,29,0.03211517165005537,0.05326086956521739,903,29,0.03211517165005537,Other author technique labels; not verified benign
PX083-native-0037,PX083-original-threshold-supplement,casino,delay_30_deadline_0,entity_context,20260920,37,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.3235294117647059,0.6470588235294118,0.43137254901960786,0.6224080807189655,0.9504592534688294,23,0.02547065337763012,0.051086956521739134,903,23,0.02547065337763012,Other author technique labels; not verified benign
PX083-native-0038,PX083-original-threshold-supplement,casino,delay_30_deadline_0,mixed_dropout,20260920,38,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.17333333333333334,0.7647058823529411,0.2826086956521739,0.69192673272909,0.9426421731483291,62,0.06866002214839424,0.08478260869565217,903,62,0.06866002214839424,Other author technique labels; not verified benign
PX083-native-0039,PX083-original-threshold-supplement,casino,delay_30_deadline_30,semantic_event,20260920,39,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.7,0.8235294117647058,0.7567567567567568,0.8674180483004013,0.960719171389486,6,0.006644518272425249,0.01956521739130435,903,6,0.006644518272425249,Other author technique labels; not verified benign
PX083-native-0040,PX083-original-threshold-supplement,casino,delay_30_deadline_30,entity_context,20260920,40,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.6086956521739131,0.8235294117647058,0.7,0.8522436792934762,0.976157905022474,9,0.009966777408637873,0.02282608695652174,903,9,0.009966777408637873,Other author technique labels; not verified benign
PX083-native-0041,PX083-original-threshold-supplement,casino,delay_30_deadline_30,mixed_dropout,20260920,41,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.8438442464409793,0.9693179597420364,13,0.014396456256921373,0.02717391304347826,903,13,0.014396456256921373,Other author technique labels; not verified benign
PX083-native-0042,PX083-original-threshold-supplement,casino,delay_120_deadline_0,semantic_event,20260920,42,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.671435855944523,0.9414044687642499,29,0.03211517165005537,0.05326086956521739,903,29,0.03211517165005537,Other author technique labels; not verified benign
PX083-native-0043,PX083-original-threshold-supplement,casino,delay_120_deadline_0,entity_context,20260920,43,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.3142857142857143,0.6470588235294118,0.4230769230769231,0.6318686814605169,0.9478535600286627,24,0.026578073089700997,0.05217391304347826,903,24,0.026578073089700997,Other author technique labels; not verified benign
PX083-native-0044,PX083-original-threshold-supplement,casino,delay_120_deadline_0,mixed_dropout,20260920,44,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.16883116883116883,0.7647058823529411,0.2765957446808511,0.6938520721519061,0.9415347534362583,64,0.07087486157253599,0.08695652173913043,903,64,0.07087486157253599,Other author technique labels; not verified benign
PX083-native-0045,PX083-original-threshold-supplement,casino,delay_120_deadline_30,semantic_event,20260920,45,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.671435855944523,0.9414044687642499,29,0.03211517165005537,0.05326086956521739,903,29,0.03211517165005537,Other author technique labels; not verified benign
PX083-native-0046,PX083-original-threshold-supplement,casino,delay_120_deadline_30,entity_context,20260920,46,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.3142857142857143,0.6470588235294118,0.4230769230769231,0.6334936511313979,0.949547260764771,24,0.026578073089700997,0.05217391304347826,903,24,0.026578073089700997,Other author technique labels; not verified benign
PX083-native-0047,PX083-original-threshold-supplement,casino,delay_120_deadline_30,mixed_dropout,20260920,47,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.16883116883116883,0.7647058823529411,0.2765957446808511,0.6958031575071087,0.9422513191323041,64,0.07087486157253599,0.08695652173913043,903,64,0.07087486157253599,Other author technique labels; not verified benign
PX083-native-0048,PX083-original-threshold-supplement,casino,delay_120_deadline_120,semantic_event,20260920,48,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.7,0.8235294117647058,0.7567567567567568,0.8674180483004013,0.960719171389486,6,0.006644518272425249,0.01956521739130435,903,6,0.006644518272425249,Other author technique labels; not verified benign
PX083-native-0049,PX083-original-threshold-supplement,casino,delay_120_deadline_120,entity_context,20260920,49,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.6086956521739131,0.8235294117647058,0.7,0.8522436792934762,0.976157905022474,9,0.009966777408637873,0.02282608695652174,903,9,0.009966777408637873,Other author technique labels; not verified benign
PX083-native-0050,PX083-original-threshold-supplement,casino,delay_120_deadline_120,mixed_dropout,20260920,50,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.8438442464409793,0.9693179597420364,13,0.014396456256921373,0.02717391304347826,903,13,0.014396456256921373,Other author technique labels; not verified benign
PX083-native-0051,PX083-original-threshold-supplement,casino,execve_absent,semantic_event,20260920,51,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.23076923076923078,0.8823529411764706,0.36585365853658536,0.8507508308954946,0.9723796495342323,50,0.05537098560354374,0.06304347826086956,903,50,0.05537098560354374,Other author technique labels; not verified benign
PX083-native-0052,PX083-original-threshold-supplement,casino,execve_absent,entity_context,20260920,52,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.30612244897959184,0.8823529411764706,0.45454545454545453,0.8407638865262704,0.9835841313269494,34,0.03765227021040975,0.04565217391304348,903,34,0.03765227021040975,Other author technique labels; not verified benign
PX083-native-0053,PX083-original-threshold-supplement,casino,execve_absent,mixed_dropout,20260920,53,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.42424242424242425,0.8235294117647058,0.56,0.8137774890559164,0.9652791349097778,19,0.021040974529346623,0.03369565217391304,903,19,0.021040974529346623,Other author technique labels; not verified benign
PX083-native-0054,PX083-original-threshold-supplement,casino,proctitle_absent,semantic_event,20260920,54,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8080980441354378,0.9476255618526481,5,0.005537098560354375,0.01847826086956522,903,5,0.005537098560354375,Other author technique labels; not verified benign
PX083-native-0055,PX083-original-threshold-supplement,casino,proctitle_absent,entity_context,20260920,55,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.7788409116108823,0.9665819816298612,5,0.005537098560354375,0.01847826086956522,903,5,0.005537098560354375,Other author technique labels; not verified benign
PX083-native-0056,PX083-original-threshold-supplement,casino,proctitle_absent,mixed_dropout,20260920,56,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.35,0.8235294117647058,0.49122807017543857,0.7978396102376261,0.9542049377890691,26,0.028792912513842746,0.041304347826086954,903,26,0.028792912513842746,Other author technique labels; not verified benign
PX083-native-0057,PX083-original-threshold-supplement,casino,syscall_absent,semantic_event,20260920,57,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.27586206896551724,0.9411764705882353,0.4266666666666667,0.8738014658637069,0.9504918246368315,42,0.046511627906976744,0.05,903,42,0.046511627906976744,Other author technique labels; not verified benign
PX083-native-0058,PX083-original-threshold-supplement,casino,syscall_absent,entity_context,20260920,58,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.5357142857142857,0.8823529411764706,0.6666666666666666,0.876221517195148,0.948798123900723,13,0.014396456256921373,0.02282608695652174,903,13,0.014396456256921373,Other author technique labels; not verified benign
PX083-native-0059,PX083-original-threshold-supplement,casino,syscall_absent,mixed_dropout,20260920,59,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.9333333333333333,0.8235294117647058,0.875,0.8747872686228041,0.9543352224610775,1,0.0011074197120708748,0.014130434782608696,903,1,0.0011074197120708748,Other author technique labels; not verified benign
PX083-native-0060,PX083-original-threshold-supplement,casino,path_absent,semantic_event,20260920,60,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.8712338569866902,0.9558334961891732,6,0.006644518272425249,0.015217391304347827,903,6,0.006644518272425249,Other author technique labels; not verified benign
PX083-native-0061,PX083-original-threshold-supplement,casino,path_absent,entity_context,20260920,61,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.45454545454545453,0.8823529411764706,0.6,0.8698162798197789,0.9760927626864699,18,0.019933554817275746,0.02826086956521739,903,18,0.019933554817275746,Other author technique labels; not verified benign
PX083-native-0062,PX083-original-threshold-supplement,casino,path_absent,mixed_dropout,20260920,62,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.4411764705882353,0.8823529411764706,0.5882352941176471,0.8558856975687765,0.9764184743664908,19,0.021040974529346623,0.029347826086956522,903,19,0.021040974529346623,Other author technique labels; not verified benign
PX083-native-0063,PX083-original-threshold-supplement,camlds,clean,semantic_event,20260920,63,0.6491412514973695,LOW_BENIGN_RESOLUTION,4209,100,0.0,0.0,0.0,0.02380494954929556,0.5087320515940618,2,0.0004867364322219518,0.0955096222380613,4109,2,0.0004867364322219518,Other author technique labels; not verified benign
PX083-native-0064,PX083-original-threshold-supplement,camlds,clean,entity_context,20260920,64,0.6627212164717461,LOW_BENIGN_RESOLUTION,4209,100,0.023809523809523808,0.01,0.014084507042253521,0.02773794427482751,0.5594755414942808,41,0.009978096860550012,0.10382513661202186,4109,41,0.009978096860550012,Other author technique labels; not verified benign
PX083-native-0065,PX083-original-threshold-supplement,camlds,clean,mixed_dropout,20260920,65,0.6723493082035336,LOW_BENIGN_RESOLUTION,4209,100,0.0,0.0,0.0,0.027590189676380616,0.566019712825505,16,0.0038938914577756143,0.09883582798764552,4109,16,0.0038938914577756143,Other author technique labels; not verified benign
PX083-native-0066,PX083-original-threshold-supplement,camlds,random_25,semantic_event,20260920,66,0.6491412514973695,LOW_BENIGN_RESOLUTION,4209,100,0.0,0.0,0.0,0.023834802277220683,0.509269895351667,23,0.005597468970552446,0.10049893086243764,4109,23,0.005597468970552446,Other author technique labels; not verified benign
PX083-native-0067,PX083-original-threshold-supplement,camlds,random_25,entity_context,20260920,67,0.6627212164717461,LOW_BENIGN_RESOLUTION,4209,100,0.021739130434782608,0.02,0.020833333333333332,0.02846062641599068,0.5415271355560963,90,0.02190313944998783,0.11451651223568543,4109,90,0.02190313944998783,Other author technique labels; not verified benign
PX083-native-0068,PX083-original-threshold-supplement,camlds,random_25,mixed_dropout,20260920,68,0.6723493082035336,LOW_BENIGN_RESOLUTION,4209,100,0.02631578947368421,0.01,0.014492753623188406,0.02792569384455334,0.5625857872961791,37,0.009004623996106109,0.10287479211214065,4109,37,0.009004623996106109,Other author technique labels; not verified benign
PX083-native-0069,PX083-original-threshold-supplement,camlds,random_25,semantic_event,20260921,69,0.6491412514973695,LOW_BENIGN_RESOLUTION,4209,100,0.0,0.0,0.0,0.023841733952280092,0.5122694086152348,26,0.006327573618885374,0.10121168923734854,4109,26,0.006327573618885374,Other author technique labels; not verified benign
PX083-native-0070,PX083-original-threshold-supplement,camlds,random_25,entity_context,20260921,70,0.6627212164717461,LOW_BENIGN_RESOLUTION,4209,100,0.0,0.0,0.0,0.023868999953590916,0.5218483816013628,73,0.01776587977610124,0.11237823711095273,4109,73,0.01776587977610124,Other author technique labels; not verified benign
PX083-native-0071,PX083-original-threshold-supplement,camlds,random_25,mixed_dropout,20260921,71,0.6723493082035336,LOW_BENIGN_RESOLUTION,4209,100,0.0,0.0,0.0,0.022910974225780933,0.5093392552932586,27,0.006570941834996349,0.10144927536231885,4109,27,0.006570941834996349,Other author technique labels; not verified benign
PX083-native-0072,PX083-original-threshold-supplement,camlds,random_25,semantic_event,20260922,72,0.6491412514973695,LOW_BENIGN_RESOLUTION,4209,100,0.03225806451612903,0.01,0.015267175572519083,0.02457556979431338,0.4976028230713069,30,0.007301046483329277,0.10121168923734854,4109,30,0.007301046483329277,Other author technique labels; not verified benign
PX083-native-0073,PX083-original-threshold-supplement,camlds,random_25,entity_context,20260922,73,0.6627212164717461,LOW_BENIGN_RESOLUTION,4209,100,0.020833333333333332,0.02,0.02040816326530612,0.03463047499573082,0.5083803845217815,94,0.022876612314431735,0.11546685673556664,4109,94,0.022876612314431735,Other author technique labels; not verified benign
PX083-native-0074,PX083-original-threshold-supplement,camlds,random_25,mixed_dropout,20260922,74,0.6723493082035336,LOW_BENIGN_RESOLUTION,4209,100,0.037037037037037035,0.01,0.015748031496062992,0.0269820185366038,0.5231990752007789,26,0.006327573618885374,0.10026134473746733,4109,26,0.006327573618885374,Other author technique labels; not verified benign
PX083-native-0075,PX083-original-threshold-supplement,camlds,random_50,semantic_event,20260920,75,0.6491412514973695,LOW_BENIGN_RESOLUTION,4209,100,0.0,0.0,0.0,0.024178338173801446,0.505778778291555,26,0.006327573618885374,0.10121168923734854,4109,26,0.006327573618885374,Other author technique labels; not verified benign
