configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,seed,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,negative_definition,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,context_selected_fraction,selected_context_harm_count,selected_context_help_count,policy,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered,seconds,normal_false_attack_rate,test_rows_with_current_fingerprint_in_training,training_rows_ending_after_first_test_start,chronological_all_fit_before_test,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error
PX080-0022,PX080,UNRAVELED,stale_5min,,context,,False,20260924,,22,px080_context_selector/results/METRICS.json,20260924,208094,0.738414594642478,0.024080463636625755,27,0.22857142857142856,192193,27,0.00014048378452909314,Author benign flow labels,35,0.22857142857142856,0.22857142857142854,0.2077922077922078,27,3442,0.6725740848343986,0.6751888436955258,0.7641525004126093,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0023,PX080,UNRAVELED,stale_5min,,fixed_fusion,,False,20260924,,23,px080_context_selector/results/METRICS.json,20260924,208094,0.7630388446917284,0.023873826251597837,37,0.37142857142857144,192193,37,0.00019251481583616468,Author benign flow labels,35,0.37142857142857144,0.37142857142857144,0.3058823529411765,22,3442,0.6743172574084835,0.6743172574084835,0.7641152263374485,1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0024,PX080,UNRAVELED,stale_5min,,confidence_gate,,False,20260924,,24,px080_context_selector/results/METRICS.json,20260924,208094,0.7629970460524793,0.02387863177217988,37,0.37142857142857144,192193,37,0.00019251481583616468,Author benign flow labels,35,0.37142857142857144,0.37142857142857144,0.3058823529411765,22,3442,0.6743172574084835,0.6743172574084835,0.7639894667544437,1121,0.69178352090882,17,111,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0025,PX080,UNRAVELED,stale_5min,,ordinary_gate,,False,20260924,,25,px080_context_selector/results/METRICS.json,20260924,208094,0.7488748262688206,0.023912270416254194,49,0.37142857142857144,192193,49,0.0002549520534046505,Author benign flow labels,35,0.37142857142857144,0.37142857142857144,0.25,22,3442,0.6743172574084835,0.6769320162696106,0.7632357777047024,1112,0.0015281555450901995,17,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0026,PX080,UNRAVELED,stale_5min,,stage_harm_gate,,False,20260924,,26,px080_context_selector/results/METRICS.json,20260924,208094,0.7606190170759937,0.024017991869059174,107,0.7428571428571429,192193,107,0.0005567320349856654,Author benign flow labels,35,0.7428571428571429,0.7428571428571429,0.29714285714285715,9,3442,0.6731551423590936,0.6757699012202207,0.7631752305665349,1116,0.003171643584149471,9,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0027,PX080,UNRAVELED,stale_5min,,context_dropout,,False,20260924,,27,px080_context_selector/results/METRICS.json,20260924,208094,0.7625240760182146,0.02388824281334397,66,0.4857142857142857,192193,66,0.00034340480662667215,Author benign flow labels,35,0.4857142857142857,0.48571428571428577,0.3063063063063063,18,3442,0.674607786170831,0.679546775130738,0.7618110236220472,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0028,PX080,UNRAVELED,wrong_host,,current_roles,,False,20260924,,28,px080_context_selector/results/METRICS.json,20260924,208094,0.7589663259346022,0.024099685718953934,117,0.7428571428571429,192193,117,0.0006087630662927369,Author benign flow labels,35,0.7428571428571429,0.7428571428571429,0.29545454545454547,9,3442,0.6751888436955259,0.6751888436955258,0.7597254004576659,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0029,PX080,UNRAVELED,wrong_host,,context,,False,20260924,,29,px080_context_selector/results/METRICS.json,20260924,208094,0.4649882680542352,0.07810412601997174,0,0.0,192193,0,0.0,Author benign flow labels,35,0.0,0.0,0.0,35,3442,0.6673445671121441,0.6673445671121441,0.7573359709858226,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0030,PX080,UNRAVELED,wrong_host,,fixed_fusion,,False,20260924,,30,px080_context_selector/results/METRICS.json,20260924,208094,0.718093230417572,0.024522571530173863,23,0.11428571428571428,192193,23,0.00011967137200626454,Author benign flow labels,35,0.11428571428571428,0.11428571428571432,0.12903225806451613,31,3442,0.6725740848343986,0.6725740848343986,0.7651627830110725,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0031,PX080,UNRAVELED,wrong_host,,confidence_gate,,False,20260924,,31,px080_context_selector/results/METRICS.json,20260924,208094,0.7181039824367059,0.02478687516218632,23,0.11428571428571428,192193,23,0.00011967137200626454,Author benign flow labels,35,0.11428571428571428,0.11428571428571432,0.12903225806451613,31,3442,0.6725740848343986,0.6725740848343986,0.7677002155529763,1127,0.7866781358424558,145,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0032,PX080,UNRAVELED,wrong_host,,ordinary_gate,,False,20260924,,32,px080_context_selector/results/METRICS.json,20260924,208094,0.7262137248123385,0.024090074677789845,23,0.14285714285714285,192193,23,0.00011967137200626454,Author benign flow labels,35,0.14285714285714285,0.1428571428571429,0.16393442622950818,30,3442,0.674607786170831,0.6746077861708308,0.7600654664484452,1120,0.001037992445721645,23,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0033,PX080,UNRAVELED,wrong_host,,stage_harm_gate,,False,20260924,,33,px080_context_selector/results/METRICS.json,20260924,208094,0.7410375001495676,0.024512960489009774,47,0.2857142857142857,192193,47,0.00024454584714323624,Author benign flow labels,35,0.2857142857142857,0.2857142857142857,0.2222222222222222,25,3442,0.668506682161534,0.668506682161534,0.7612903225806451,1141,0.0028256461022422557,39,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0034,PX080,UNRAVELED,wrong_host,,context_dropout,,False,20260924,,34,px080_context_selector/results/METRICS.json,20260924,208094,0.7677457864026695,0.024090074677789845,103,0.6857142857142857,192193,103,0.0005359196224628369,Author benign flow labels,35,0.6857142857142857,0.6857142857142857,0.3333333333333333,11,3442,0.6751888436955259,0.6766414875072633,0.7572499185402412,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0035,PX080,UNRAVELED,clean,,current_roles,,False,20260925,,35,px080_context_selector/results/METRICS.json,20260925,208094,0.7491564610421154,0.024315934145145945,166,0.8285714285714286,192193,166,0.0008637151196973876,Author benign flow labels,35,0.8285714285714286,0.8285714285714285,0.2600896860986547,6,3442,0.6751888436955259,0.6780941313190005,0.7562642369020501,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0036,PX080,UNRAVELED,clean,,context,,False,20260925,,36,px080_context_selector/results/METRICS.json,20260925,208094,0.770708443532791,0.024017991869059174,52,0.6285714285714286,192193,52,0.000270561362796772,Author benign flow labels,35,0.6285714285714286,0.6285714285714286,0.3384615384615385,13,3442,0.6717024985473562,0.6780941313190005,0.7629104108232965,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0037,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260925,,37,px080_context_selector/results/METRICS.json,20260925,208094,0.7555105736373741,0.024027602910223263,111,0.7142857142857143,192193,111,0.0005775444475084941,Author benign flow labels,35,0.7142857142857143,0.7142857142857143,0.2777777777777778,10,3442,0.674607786170831,0.6775130737943056,0.7626868122844473,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0038,PX080,UNRAVELED,clean,,confidence_gate,,False,20260925,,38,px080_context_selector/results/METRICS.json,20260925,208094,0.7547461463542638,0.024037213951387353,113,0.7142857142857143,192193,113,0.0005879506537699084,Author benign flow labels,35,0.7142857142857143,0.7142857142857143,0.27472527472527475,10,3442,0.674607786170831,0.6775130737943056,0.7626868122844473,1110,0.6159668226859015,10,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0039,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260925,,39,px080_context_selector/results/METRICS.json,20260925,208094,0.7528372532714835,0.024248656856997317,137,0.8,192193,137,0.00071282512890688,Author benign flow labels,35,0.8,0.8,0.2692307692307692,7,3442,0.6719930273097037,0.6792562463683904,0.7604800263028111,1104,0.007222697434813114,14,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0040,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260925,,40,px080_context_selector/results/METRICS.json,20260925,208094,0.7465662875197248,0.024253462377579364,166,0.8571428571428571,192193,166,0.0008637151196973876,Author benign flow labels,35,0.8571428571428571,0.8571428571428572,0.24390243902439024,5,3442,0.673445671121441,0.6827425915165601,0.7607482769937643,1092,0.001494516901015887,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0041,PX080,UNRAVELED,clean,,context_dropout,,False,20260925,,41,px080_context_selector/results/METRICS.json,20260925,208094,0.7556818632558819,0.023965131142656686,83,0.6285714285714286,192193,83,0.0004318575598486938,Author benign flow labels,35,0.6285714285714286,0.6285714285714286,0.27848101265822783,13,3442,0.674026728646136,0.6818710052295177,0.7624055208675649,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0042,PX080,UNRAVELED,missing_half,,current_roles,,False,20260925,,42,px080_context_selector/results/METRICS.json,20260925,208094,0.7491564610421154,0.024315934145145945,166,0.8285714285714286,192193,166,0.0008637151196973876,Author benign flow labels,35,0.8285714285714286,0.8285714285714285,0.2600896860986547,6,3442,0.6751888436955259,0.6780941313190005,0.7562642369020501,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0043,PX080,UNRAVELED,missing_half,,context,,False,20260925,,43,px080_context_selector/results/METRICS.json,20260925,208094,0.6553749675230838,0.0533364729401136,31,0.2857142857142857,192193,31,0.00016129619705192177,Author benign flow labels,35,0.2857142857142857,0.2857142857142857,0.2247191011235955,25,3442,0.6708309122603138,0.6748983149331784,0.7650762094102055,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0044,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260925,,44,px080_context_selector/results/METRICS.json,20260925,208094,0.7508923119602705,0.024142935404192337,80,0.5142857142857142,192193,80,0.0004162482504565723,Author benign flow labels,35,0.5142857142857142,0.5142857142857142,0.2608695652173913,17,3442,0.674026728646136,0.6757699012202207,0.7619047619047619,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0045,PX080,UNRAVELED,missing_half,,confidence_gate,,False,20260925,,45,px080_context_selector/results/METRICS.json,20260925,208094,0.7509658443978726,0.02414774092477438,80,0.5142857142857142,192193,80,0.0004162482504565723,Author benign flow labels,35,0.5142857142857142,0.5142857142857142,0.2608695652173913,17,3442,0.6737361998837885,0.6754793724578734,0.7620768977982254,1117,0.5813382413716878,22,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
