study,dataset,condition,view,arm,budget,reference_only,n_views,mean_definition,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,context_selected_fraction,selected_context_harm_count,selected_context_help_count,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered,seconds,normal_false_attack_rate,test_rows_with_current_fingerprint_in_training,training_rows_ending_after_first_test_start,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error
PX083,casino,delay_30_deadline_30,,fixed_fusion,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,8,0.008859357696566999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8606314785559049,0.9711419451501531,8,0.008859357696566999,0.021739130434782608
PX083,casino,delay_30_deadline_30,,mixed_dropout,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,17,0.018826135105204873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.45161290322580644,0.8235294117647058,0.5833333333333334,0.8438442464409793,0.9693179597420364,17,0.018826135105204873,0.03152173913043478
PX083,casino,delay_30_deadline_30,,confidence_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,8,0.008859357696566999,,,,,,,,,,,0.6260869565217392,,,,,,,,,,,,,,,,,,,17,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8716877511874316,0.9684059670379781,8,0.008859357696566999,0.021739130434782608
PX083,casino,delay_30_deadline_30,,ordinary_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,7,0.007751937984496124,,,,,,,,,,,0.5152173913043478,,,,,,,,,,,,,,,,,,,17,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8671529436746829,0.9682105400299655,7,0.007751937984496124,0.020652173913043477
PX083,casino,delay_30_deadline_30,,target_cost_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,16,0.017718715393133997,,,,,,,,,,,0.42934782608695654,,,,,,,,,,,,,,,,,,,17,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.8579928937314336,0.9667122663018696,16,0.017718715393133997,0.030434782608695653
PX083,casino,delay_120_deadline_0,,current,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,93,0.10299003322259136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.671435855944523,0.9414044687642499,93,0.10299003322259136,0.11413043478260869
PX083,casino,delay_120_deadline_0,,context,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,33,0.036544850498338874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.25,0.6470588235294118,0.36065573770491804,0.6318686814605169,0.9478535600286627,33,0.036544850498338874,0.06195652173913044
PX083,casino,delay_120_deadline_0,,fixed_fusion,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,29,0.03211517165005537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.6423910506560649,0.9510455344928669,29,0.03211517165005537,0.05326086956521739
PX083,casino,delay_120_deadline_0,,mixed_dropout,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,101,0.11184939091915837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.12173913043478261,0.8235294117647058,0.21212121212121213,0.6938520721519061,0.9415347534362583,101,0.11184939091915837,0.12282608695652174
PX083,casino,delay_120_deadline_0,,confidence_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,29,0.03211517165005537,,,,,,,,,,,0.7608695652173914,,,,,,,,,,,,,,,,,,,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.6722448182164213,0.9496124031007752,29,0.03211517165005537,0.05326086956521739
