study,dataset,condition,view,arm,budget,reference_only,class,n_views,support,support_available_views,predicted_count,predicted_count_available_views,true_positive_count,true_positive_count_available_views,precision,precision_available_views,exact_recall,exact_recall_available_views,f1,f1_available_views,average_precision,average_precision_available_views,roc_auc,roc_auc_available_views,warning_recall,warning_recall_available_views,missed_warning_count,missed_warning_count_available_views,wrong_attack_stage_count,wrong_attack_stage_count_available_views
PX081,UNRAVELED,clean,,harm,1,False,DataExfiltration,3,3442,3,2701.6666666666665,3,2324,3,0.8602151205099092,3,0.6751888436955259,3,0.7565524455411875,3,0.6437041189659426,3,0.8571187500451677,3,0.6782878171605656,3,1107.3333333333333,3,10.666666666666666,3
PX081,UNRAVELED,clean,,none,2,False,Benign,3,192193,3,193194.33333333334,3,192029,3,0.9939680777061192,3,0.9991466910865641,3,0.9965506563467037,3,0.9983583434301234,3,0.9848079637615607,3,,0,,0,,0
PX081,UNRAVELED,clean,,none,2,False,OtherAttackStage,3,12424,3,12030.333333333334,3,12025,3,0.9995567053346309,3,0.9678847392144238,3,0.983465768568905,3,0.9896415249721386,3,0.9982569389599708,3,0.9968072547757029,3,39.666666666666664,3,359.3333333333333,3
PX081,UNRAVELED,clean,,none,2,False,LateralMovement,3,35,3,165.33333333333334,3,27.333333333333332,3,0.16553544494720965,3,0.780952380952381,3,0.2731026263142213,3,0.1787012357424593,3,0.9995455730391494,3,0.780952380952381,3,7.666666666666667,3,0,3
PX081,UNRAVELED,clean,,none,2,False,DataExfiltration,3,3442,3,2704,3,2324,3,0.8594695691495975,3,0.6751888436955259,3,0.7562645971066267,3,0.6373037168156886,3,0.8517437772389999,3,0.6751888436955259,3,1118,3,0,3
PX081,UNRAVELED,clean,,roles_first,2,False,Benign,3,192193,3,192459,3,192013.33333333334,3,0.9976908650226577,3,0.999065175804183,3,0.9983759274901001,3,0.9999813251214261,3,0.9997813830101148,3,,0,,0,,0
PX081,UNRAVELED,clean,,roles_first,2,False,OtherAttackStage,3,12424,3,12032.666666666666,3,12026.333333333334,3,0.9994736856857906,3,0.9679920583816269,3,0.9834809446228443,3,0.9889312251600463,3,0.9980478552576789,3,0.9968340845675038,3,39.333333333333336,3,358.3333333333333,3
PX081,UNRAVELED,clean,,roles_first,2,False,LateralMovement,3,35,3,900.3333333333334,3,30,3,0.06567328517539568,3,0.8571428571428571,3,0.11604757216387035,3,0.17312034065492943,3,0.9988569176462996,3,0.8571428571428571,3,5,3,0,3
PX081,UNRAVELED,clean,,roles_first,2,False,DataExfiltration,3,3442,3,2702,3,2324,3,0.8601077958401561,3,0.6751888436955259,3,0.7565111950952547,3,0.6945647951834364,3,0.9777615946707323,3,0.883401123377881,3,401.3333333333333,3,716.6666666666666,3
PX081,UNRAVELED,clean,,history_first,2,False,Benign,3,192193,3,193319,3,192106.33333333334,3,0.9937271299359207,3,0.9995490643953387,3,0.9966295842593362,3,0.9996537812462848,3,0.9960636413165431,3,,0,,0,,0
PX081,UNRAVELED,clean,,history_first,2,False,OtherAttackStage,3,12424,3,12055.666666666666,3,12053.666666666666,3,0.9998341028686244,3,0.9701921013092939,3,0.9847900342793635,3,0.9989169992133061,3,0.9999147837711568,3,0.9945267224726336,3,68,3,302.3333333333333,3
PX081,UNRAVELED,clean,,history_first,2,False,LateralMovement,3,35,3,104,3,20.333333333333332,3,0.2018796532345772,3,0.580952380952381,3,0.293248793454696,3,0.21922891752496607,3,0.9993134273497055,3,0.580952380952381,3,14.666666666666666,3,0,3
PX081,UNRAVELED,clean,,history_first,2,False,DataExfiltration,3,3442,3,2615.3333333333335,3,2310.6666666666665,3,0.8835117333957642,3,0.6713151268642262,3,0.7629321632901972,3,0.7360456472896124,3,0.962915311148754,3,0.6717024985473562,3,1130,3,1.3333333333333333,3
PX081,UNRAVELED,clean,,random,2,False,Benign,3,192193,3,192890.66666666666,3,192059.33333333334,3,0.9956918787748563,3,0.9993045185481955,3,0.9974944776199175,3,0.9997896696075734,3,0.9976127409579073,3,,0,,0,,0
PX081,UNRAVELED,clean,,random,2,False,OtherAttackStage,3,12424,3,12039.666666666666,3,12035,3,0.9996123731988242,3,0.9686896329684481,3,0.9839080944361694,3,0.994656622842925,3,0.9992060393827065,3,0.9954121056020605,3,57,3,332,3
PX081,UNRAVELED,clean,,random,2,False,LateralMovement,3,35,3,501.6666666666667,3,26.666666666666668,3,0.08470324226322952,3,0.7619047619047619,3,0.1441529198742783,3,0.18384131680962323,3,0.9989577361183493,3,0.7619047619047619,3,8.333333333333334,3,0,3
