configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,class,support,predicted_count,true_positive_count,precision,exact_recall,f1,average_precision,roc_auc,ranking_metric_status,recall_supported,warning_recall,missed_warning_count,wrong_attack_stage_count,target_false_negative_count,warning_scope
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,DataExfiltration,3442,2655,2322,0.8745762711864407,0.674607786170831,0.761686075118911,0.8660378815040501,0.9965483007602265,source reported; blank if unsupported,True,0.6772225450319582,1111,9,,Any non-benign predicted label
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,Benign,192193,193242,192076,0.993966115026754,0.9993912369337072,0.9966712934736077,0.9999742065073626,0.9997116687033238,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,OtherAttackStage,12424,12035,12034,0.9999169090153718,0.9686091435930457,0.9840140643525901,0.9907065892289245,0.998575682974584,source reported; blank if unsupported,True,0.9968609143593046,39,351,,Any non-benign predicted label
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,LateralMovement,35,141,26,0.18439716312056736,0.7428571428571429,0.29545454545454547,0.21030843825527948,0.9989176147150568,source reported; blank if unsupported,True,0.7428571428571429,9,0,,Any non-benign predicted label
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,DataExfiltration,3442,2676,2324,0.8684603886397608,0.6751888436955259,0.7597254004576659,0.6890127447424923,0.9709320864046839,source reported; blank if unsupported,True,0.6751888436955258,1118,0,,Any non-benign predicted label
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,Benign,192193,199502,192168,0.9632384637747993,0.9998699224217323,0.9812124229311071,0.9999843730467353,0.9998089756649363,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,OtherAttackStage,12424,5988,5986,0.9996659986639946,0.481809401159047,0.6502281121008038,0.9977297455454058,0.9998309862976454,source reported; blank if unsupported,True,0.5028171281390856,6177,261,,Any non-benign predicted label
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,LateralMovement,35,39,10,0.2564102564102564,0.2857142857142857,0.2702702702702703,0.1588909607635047,0.9952946039344609,source reported; blank if unsupported,True,0.2857142857142857,25,0,,Any non-benign predicted label
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,DataExfiltration,3442,2565,2304,0.8982456140350877,0.6693782684485764,0.767105044115199,0.7255332909009583,0.985137617948982,source reported; blank if unsupported,True,0.6711214410226612,1132,6,,Any non-benign predicted label
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,Benign,192193,193402,192154,0.9935471194713602,0.9997970789779024,0.9966623011190497,0.9999836328484192,0.9998054844059678,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,OtherAttackStage,12424,12023,12022,0.9999168260833403,0.9676432710882164,0.9835153597578435,0.998511324726272,0.9998946715054464,source reported; blank if unsupported,True,0.9917900837089504,102,300,,Any non-benign predicted label
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,LateralMovement,35,52,13,0.25,0.37142857142857144,0.2988505747126437,0.22317286075695258,0.9969260779737615,source reported; blank if unsupported,True,0.37142857142857144,22,0,,Any non-benign predicted label
