configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,true_class,predicted_class,count
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,Benign,Benign,192098
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,Benign,OtherAttackStage,2
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,Benign,LateralMovement,92
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,Benign,DataExfiltration,1
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,OtherAttackStage,Benign,47
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,OtherAttackStage,OtherAttackStage,12062
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,OtherAttackStage,LateralMovement,0
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,OtherAttackStage,DataExfiltration,315
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,LateralMovement,Benign,14
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,LateralMovement,OtherAttackStage,0
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,LateralMovement,LateralMovement,21
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,LateralMovement,DataExfiltration,0
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,DataExfiltration,Benign,1119
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,DataExfiltration,OtherAttackStage,1
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,DataExfiltration,LateralMovement,8
