study,contrast,condition,budget,omitted_seed,metric,baseline,candidate,delta,f1_up_exfil_warning_down,f1_down_exfil_warning_up,sign_disagreement
PX081,harm_minus_entropy,delayed_unavailable,2,8101,benign_false_alert_rate,0.0007206297836029408,0.0007258328867336479,5.20310313070711e-06,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8101,exfil_to_benign_count,763.5,1120.0,356.5,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8101,benign_false_alert_count,138.5,139.5,1.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8102,macro_f1,0.7286310186657469,0.7545302649303263,0.025899246264579456,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8102,exfil_warning_recall,0.7803602556653109,0.6746077861708308,-0.10575246949448003,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8102,movement_exact_recall,0.8,0.7714285714285715,-0.02857142857142858,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8102,benign_false_alert_rate,0.0007804654696060731,0.0007648561602139517,-1.5609309392121493e-05,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8102,exfil_to_benign_count,756.0,1120.0,364.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8102,benign_false_alert_count,150.0,147.0,-3.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8103,macro_f1,0.6997170052635207,0.753941500705168,0.054224495441647425,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8103,exfil_warning_recall,0.8836432306798373,0.6746077861708308,-0.20903544450900646,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8103,movement_exact_recall,0.7428571428571429,0.7428571428571429,0.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8103,benign_false_alert_rate,0.0007362390929950622,0.0007622546086485981,2.6015515653535768e-05,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8103,exfil_to_benign_count,400.5,1120.0,719.5,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,2,8103,benign_false_alert_count,141.5,146.5,5.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8101,macro_f1,0.7265136444398352,0.7371397964113113,0.010626151971476094,True,False,True
