configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,subgroup_type,subgroup_id,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,negative_definition,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error,seed,policy,capture,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,2712,0.26002341235001464,1.6677728613569323,43,0.45714285714285713,1576,43,0.02728426395939086,Author benign flow labels,35,0.45714285714285713,0.4571428571428572,0.3137254901960784,19,1101,0.0,0.0072661217075385975,0.0,1093,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.8716154050752153,0.0009084328114576088,29,0.8333333333333334,62400,29,0.00046474358974358973,Author benign flow labels,18,0.8333333333333334,0.8333333333333334,0.4918032786885246,3,2253,0.9991122947181535,0.9991122947181535,0.9962381057756141,2,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.4994762394022071,0.0019776374838366166,59,,48951,59,0.0012052869195726338,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.5844715626166738,0.025403236521138364,18,0.5454545454545454,35261,18,0.000510478999461161,Author benign flow labels,11,0.5454545454545454,0.5454545454545454,0.34285714285714286,5,228,0.0,0.0,0.0,228,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.6041155746160464,0.04244869988959531,11,0.8333333333333334,25120,11,0.00043789808917197453,Author benign flow labels,6,0.8333333333333334,0.8333333333333334,0.45454545454545453,1,258,0.28294573643410853,0.2829457364341085,0.2225609756097561,185,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24583093041138024,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.0,0.0,694,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,2712,0.25001507113576077,1.6795722713864307,115,0.7428571428571429,1576,115,0.07296954314720812,Author benign flow labels,35,0.7428571428571429,0.7428571428571429,0.29545454545454547,9,1101,0.0,0.0,0.0,1101,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.7463436492239623,0.042497622461001264,6,0.2777777777777778,62400,6,9.615384615384615e-05,Author benign flow labels,18,0.2777777777777778,0.2777777777777778,0.3448275862068966,13,2253,0.9955614735907679,0.996005326231691,0.9977758007117438,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.40870945556906146,0.036491214725792954,17,,48951,17,0.00034728606157177587,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.5441499755667216,0.05314484627853214,2,0.45454545454545453,35261,2,5.67198888290179e-05,Author benign flow labels,11,0.45454545454545453,0.4545454545454546,0.5263157894736842,6,228,0.0,0.00877192982456143,0.0,226,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.4166032431789362,0.054288651159249246,0,0.0,25120,0,0.0,Author benign flow labels,6,0.0,0.0,0.0,6,258,0.2364341085271318,0.23643410852713176,0.2103448275862069,197,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24584865306514792,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.004322766570605152,0.0,691,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,2712,0.2501987749104718,1.6696165191740413,24,0.2857142857142857,1576,24,0.015228426395939087,Author benign flow labels,35,0.2857142857142857,0.2857142857142857,0.2702702702702703,25,1101,0.0,0.004541326067211582,0.0,1096,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.8572258545894663,0.0012632893784332373,11,0.4444444444444444,62400,11,0.0001762820512820513,Author benign flow labels,18,0.4444444444444444,0.4444444444444444,0.43243243243243246,10,2253,0.9977807367953839,0.9982245894363071,0.998445480790584,4,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.49936465132669283,0.0014071651327299004,23,,48951,23,0.00046985761271475557,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.6459210496114526,0.025031222597188638,1,0.45454545454545453,35261,1,2.835994441450895e-05,Author benign flow labels,11,0.45454545454545453,0.4545454545454546,0.5882352941176471,6,228,0.0,0.0,0.0,228,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.4891481233889896,0.04370502912399589,4,0.0,25120,4,0.0001592356687898089,Author benign flow labels,6,0.0,0.0,0.0,6,258,0.26744186046511625,0.2674418604651163,0.22150882825040127,189,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24583093041138024,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.0,0.0,694,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,2712,0.25613379570837813,1.6707227138643068,39,0.37142857142857144,1576,39,0.024746192893401017,Author benign flow labels,35,0.37142857142857144,0.37142857142857144,0.2988505747126437,22,1101,0.0,0.0,0.0,1101,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0010,PX080,UNRAVELED,missing_half,,confidence_gate,,False,20260924,,10,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.8571370537523639,0.001348454954507388,11,0.4444444444444444,62400,11,0.0001762820512820513,Author benign flow labels,18,0.4444444444444444,0.4444444444444444,0.43243243243243246,10,2253,0.9977807367953839,0.9982245894363071,0.9986672589960017,4,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0010,PX080,UNRAVELED,missing_half,,confidence_gate,,False,20260924,,10,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.4989528790486562,0.0016163383281356963,23,,48951,23,0.00046985761271475557,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0010,PX080,UNRAVELED,missing_half,,confidence_gate,,False,20260924,,10,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.6453595792855306,0.025270374405442032,1,0.45454545454545453,35261,1,2.835994441450895e-05,Author benign flow labels,11,0.45454545454545453,0.4545454545454546,0.5882352941176471,6,228,0.0,0.0,0.0,228,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0010,PX080,UNRAVELED,missing_half,,confidence_gate,,False,20260924,,10,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.48890837607618315,0.043857311455438384,4,0.0,25120,4,0.0001592356687898089,Author benign flow labels,6,0.0,0.0,0.0,6,258,0.26744186046511625,0.2674418604651163,0.22439024390243903,189,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0010,PX080,UNRAVELED,missing_half,,confidence_gate,,False,20260924,,10,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24583093041138024,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.0,0.0,694,,,,,,,,,,,,,,,,,,,,,,,,
