dataset,model_seed,condition,removed_fraction,mask_seed,arm,n,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_positives_per_10000_benign_nodes,average_precision,accuracy,predicted_positive
cadets,307,drop_0.25_mask_20260921,0.25,20260921,gin,357173,12,3191,341136,12834,0.003746487667811427,0.0009341429238673517,0.0014954202754065675,0.009267353416955395,92.67353416955395,0.14137518970505855,0.9551337867084018,3203
cadets,307,drop_0.25_mask_20260921,0.25,20260921,isolation_forest,357173,5,3283,341044,12841,0.0015206812652068127,0.0003892262182780632,0.0006198090987975703,0.009534541293595914,95.34541293595913,0.1350891793300515,0.9548566101021074,3288
cadets,307,drop_0.25_mask_20260921,0.25,20260921,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,307,drop_0.25_mask_20260921,0.25,20260921,quality_gate,357173,12,3211,341116,12834,0.003723239218119764,0.0009341429238673517,0.0014935590266973676,0.009325437737964203,93.25437737964202,0.12439829330906842,0.955077791434403,3223
cadets,307,drop_0.25_mask_20260921,0.25,20260921,confidence_selector,357173,12,3219,341108,12834,0.003714020427112349,0.0009341429238673517,0.0014928158238477329,0.009348671466367727,93.48671466367726,0.12439972931774164,0.9550553933248034,3231
cadets,101,drop_0.5_mask_20260921,0.5,20260921,mlp,357173,10,2198,342129,12836,0.004528985507246377,0.0007784524365561264,0.0013285505513484788,0.006383466878868053,63.834668788680524,0.1027821785730525,0.957908352535046,2208
cadets,101,drop_0.5_mask_20260921,0.5,20260921,gin,357173,10,2184,342143,12836,0.004557885141294439,0.0007784524365561264,0.0013297872340425532,0.006342807854161887,63.428078541618866,0.10641864706685969,0.9579475492268452,2194
cadets,101,drop_0.5_mask_20260921,0.5,20260921,isolation_forest,357173,3,1757,342570,12843,0.0017045454545454545,0.00023353573096683791,0.0004107900862659181,0.005102707600623826,51.027076006238254,0.07809900057360862,0.9591234499808217,1760
cadets,101,drop_0.5_mask_20260921,0.5,20260921,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,101,drop_0.5_mask_20260921,0.5,20260921,quality_gate,357173,10,2184,342143,12836,0.004557885141294439,0.0007784524365561264,0.0013297872340425532,0.006342807854161887,63.428078541618866,0.0819717794473478,0.9579475492268452,2194
cadets,101,drop_0.5_mask_20260921,0.5,20260921,confidence_selector,357173,10,2198,342129,12836,0.004528985507246377,0.0007784524365561264,0.0013285505513484788,0.006383466878868053,63.834668788680524,0.0820052406954617,0.957908352535046,2208
cadets,211,drop_0.5_mask_20260921,0.5,20260921,mlp,357173,10,2248,342079,12836,0.0044286979627989375,0.0007784524365561264,0.0013241525423728813,0.006528677681390074,65.28677681390074,0.10265725102773406,0.9577683643500489,2258
cadets,211,drop_0.5_mask_20260921,0.5,20260921,gin,357173,10,2241,342086,12836,0.00444247001332741,0.0007784524365561264,0.0013247665099026297,0.006508348169036991,65.08348169036991,0.11039590217621849,0.9577879626959485,2251
cadets,211,drop_0.5_mask_20260921,0.5,20260921,isolation_forest,357173,4,2237,342090,12842,0.00178491744756805,0.00031138097462245055,0.0005302578378736661,0.0064967313048352295,64.9673130483523,0.08253912282369388,0.9577823631685486,2241
cadets,211,drop_0.5_mask_20260921,0.5,20260921,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,211,drop_0.5_mask_20260921,0.5,20260921,quality_gate,357173,10,2241,342086,12836,0.00444247001332741,0.0007784524365561264,0.0013247665099026297,0.006508348169036991,65.08348169036991,0.08214966000195978,0.9577879626959485,2251
cadets,211,drop_0.5_mask_20260921,0.5,20260921,confidence_selector,357173,10,2255,342072,12836,0.004415011037527594,0.0007784524365561264,0.001323539143670174,0.006549007193743157,65.49007193743157,0.10595461971610266,0.9577487660041493,2265
cadets,307,drop_0.5_mask_20260921,0.5,20260921,mlp,357173,10,2192,342135,12836,0.004541326067211626,0.0007784524365561264,0.0013290802764486975,0.00636604158256541,63.660415825654106,0.10272857386765234,0.9579251511172457,2202
cadets,307,drop_0.5_mask_20260921,0.5,20260921,gin,357173,10,2149,342178,12836,0.004631773969430292,0.0007784524365561264,0.0013328890369876708,0.0062411602923964716,62.41160292396472,0.10696822701463944,0.9580455409563433,2159
cadets,307,drop_0.5_mask_20260921,0.5,20260921,isolation_forest,357173,4,2396,341931,12842,0.0016666666666666668,0.00031138097462245055,0.0005247277974550702,0.006958501656855257,69.58501656855256,0.1109646515951216,0.9573372007402575,2400
