dataset,seed,scenario,drop_rate,arm,n,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_positives_per_10000_benign_nodes,average_precision,accuracy,predicted_positive
theia,101,clean,0.0,prior_isolation_forest,344767,2,3588,315860,25317,0.0005571030640668524,7.899206129783957e-05,0.0001383652149849528,0.011231874984348,112.31874984348,0.6381146677216869,0.9161607694471918,3590
theia,101,clean,0.0,prior_type_rarity,344767,0,3,319445,25319,0.0,0.0,0.0,9.391199819688963e-06,0.09391199819688964,0.4276823881018869,0.9265532954140042,3
theia,101,clean,0.0,prior_quality_gate,344767,11,3390,316058,25308,0.003234342840341076,0.0004344563371381176,0.000766016713091922,0.01061205579624853,106.1205579624853,0.3960626099613768,0.9167611749384367,3401
theia,101,clean,0.0,prior_confidence_selector,344767,11,3398,316050,25308,0.0032267527134056907,0.0004344563371381176,0.0007658033973823447,0.010637098995767699,106.370989957677,0.3939418313555834,0.9167379708614803,3409
theia,211,clean,0.0,local_knn,344767,897,3564,315884,24422,0.20107599193006054,0.03542793949208105,0.060241773002014776,0.011156745385790489,111.56745385790488,0.7522091241941046,0.9188263377875493,4461
theia,211,clean,0.0,mlp_knn,344767,758,2985,316463,24561,0.20251135452845312,0.029937991231881195,0.05216433831119675,0.00934424382059052,93.44243820590519,0.8195947561800039,0.920102562020147,3743
theia,211,clean,0.0,gin_knn,344767,25317,5577,313871,2,0.8194795105845796,0.9999210079387022,0.9007524949744721,0.017458240464801784,174.58240464801784,0.9869676195508559,0.9838180568325855,30894
theia,211,clean,0.0,quality_gate,344767,7420,2249,317199,17899,0.7674009721791292,0.2930605474149848,0.4241454212872985,0.007040269464826826,70.40269464826827,0.9068679445348267,0.941560532185505,9669
theia,211,clean,0.0,confidence_selector,344767,25315,1710,317738,4,0.9367252543940796,0.9998420158774043,0.9672550817667737,0.005352983897222709,53.52983897222709,0.9844602959781984,0.9950285265121082,27025
theia,211,clean,0.0,prior_mlp,344767,11,3386,316062,25308,0.0032381513099793936,0.0004344563371381176,0.0007661234155174815,0.010599534196488944,105.99534196488943,0.37856247401873105,0.9167727769769148,3397
theia,211,clean,0.0,prior_gin,344767,11,3705,315743,25308,0.002960172228202368,0.0004344563371381176,0.0007577062166350955,0.011598131777315869,115.9813177731587,0.3608647348424782,0.9158475144082815,3716
theia,211,clean,0.0,prior_isolation_forest,344767,737,3582,315866,24582,0.170641352164853,0.02910857458825388,0.049733450300290166,0.011213092584708623,112.13092584708622,0.6611316065602313,0.9183100470752711,4319
theia,211,clean,0.0,prior_type_rarity,344767,0,3,319445,25319,0.0,0.0,0.0,9.391199819688963e-06,0.09391199819688964,0.4276823881018869,0.9265532954140042,3
theia,211,clean,0.0,prior_quality_gate,344767,11,3705,315743,25308,0.002960172228202368,0.0004344563371381176,0.0007577062166350955,0.011598131777315869,115.9813177731587,0.37661610350523317,0.9158475144082815,3716
theia,211,clean,0.0,prior_confidence_selector,344767,11,3705,315743,25308,0.002960172228202368,0.0004344563371381176,0.0007577062166350955,0.011598131777315869,115.9813177731587,0.37815428426056924,0.9158475144082815,3716
theia,307,clean,0.0,local_knn,344767,763,3513,315935,24556,0.1784377923292797,0.030135471385125796,0.0515627639804021,0.010997094988855776,109.97094988855777,0.21574777307124085,0.9185855954891274,4276
theia,307,clean,0.0,mlp_knn,344767,27,3256,316192,25292,0.008224185196466647,0.0010663928275208342,0.0018879798615481435,0.01019258220430242,101.92582204302421,0.20036100963393186,0.9171962513813677,3283
theia,307,clean,0.0,gin_knn,344767,17980,6765,312683,7339,0.7266114366538695,0.7101386310675777,0.7182806008309364,0.02117715559339861,211.77155593398612,0.9212274130923843,0.9590912123260057,24745
theia,307,clean,0.0,quality_gate,344767,83,3227,316221,25236,0.025075528700906343,0.003278170543860342,0.005798316392469175,0.010101800606045428,101.01800606045428,0.1963812560897726,0.9174427946990287,3310
theia,307,clean,0.0,confidence_selector,344767,17925,1682,317766,7394,0.9142143112153822,0.7079663493818871,0.7979788986333081,0.005265332698905612,52.65332698905612,0.9655704823541311,0.9736749746930535,19607
theia,307,clean,0.0,prior_mlp,344767,11,3393,316055,25308,0.0032314923619271444,0.0004344563371381176,0.000765936705775859,0.010621446996068217,106.21446996068218,0.3771040081784787,0.9167524734095781,3404
theia,307,clean,0.0,prior_gin,344767,11,3702,315746,25308,0.0029625639644492324,0.0004344563371381176,0.0007577845136401213,0.011588740577496181,115.8874057749618,0.36240711847063484,0.9158562159371402,3713
theia,307,clean,0.0,prior_isolation_forest,344767,737,3710,315738,24582,0.16572970541938387,0.02910857458825388,0.04951958610495196,0.011613783777015352,116.13783777015351,0.7050168971410202,0.9179387818439699,4447
theia,307,clean,0.0,prior_type_rarity,344767,0,3,319445,25319,0.0,0.0,0.0,9.391199819688963e-06,0.09391199819688964,0.4276823881018869,0.9265532954140042,3
theia,307,clean,0.0,prior_quality_gate,344767,11,3702,315746,25308,0.0029625639644492324,0.0004344563371381176,0.0007577845136401213,0.011588740577496181,115.8874057749618,0.3734522576803133,0.9158562159371402,3713
theia,307,clean,0.0,prior_confidence_selector,344767,11,3704,315744,25308,0.0029609690444145358,0.0004344563371381176,0.0007577323138389475,0.011595001377375973,115.95001377375974,0.37400309742073223,0.9158504149179011,3715
theia,101,drop_0.5_mask_20260920,0.5,local_knn,344767,10788,19146,300302,14531,0.3603928643014632,0.4260831786405466,0.3904946337755416,0.05993463724925496,599.3463724925497,0.21991643389270382,0.9023195375427463,29934
theia,101,drop_0.5_mask_20260920,0.5,mlp_knn,344767,10902,157818,161630,14417,0.06461593172119488,0.4305857261345235,0.11236916290024171,0.4940334577145576,4940.334577145576,0.07109336099919929,0.5004307256785017,168720
theia,101,drop_0.5_mask_20260920,0.5,gin_knn,344767,23356,180114,139334,1963,0.11478842089742959,0.9224692918361704,0.20417065505771695,0.563828854774486,5638.28854774486,0.3598451771087242,0.4718839100029875,203470
theia,101,drop_0.5_mask_20260920,0.5,quality_gate,344767,12794,159107,160341,12525,0.07442655947318515,0.5053122161222797,0.12974343372883074,0.498068543237084,4980.685432370839,0.07106107507383559,0.5021797329790845,171901
