seed,method,domain,n,positive_rate,balanced_accuracy,balanced_error,auroc,explanation_drift,rank_spearman_to_reference,confidence_drift,feature_mean_drift,top_features
51,permutation,Friday-WorkingHours-Afternoon-DDos,30000,0.5954666666666667,0.9983486341244963,0.0016513658755037408,0.9998049101155702,0.0,0.8658243310302705,0.232705938693866,0.4050684295081501,"[np.str_('Average Packet Size'), np.str_('Avg Bwd Segment Size'), np.str_('Bwd Packet Length Mean'), np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Init_Win_bytes_backward'), np.str_('Packet Length Std'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Total Length of Bwd Packets')]"
51,tree_shap,reference_validation,18000,0.1885,0.9993420908074487,0.0006579091925512648,0.9999997982306889,0.0,1.0,0.0,0.0,"[np.str_('Average Packet Size'), np.str_('Avg Bwd Segment Size'), np.str_('Bwd Packet Length Mean'), np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Init_Win_bytes_backward'), np.str_('Packet Length Std'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Total Length of Bwd Packets')]"
51,tree_shap,Thursday-WorkingHours-Morning-WebAttacks,30000,0.031966666666666664,0.5109489051094891,0.4890510948905109,0.9950315470354217,0.0,0.9868687254265754,0.18586731053145356,0.13083599230450602,"[np.str_('Average Packet Size'), np.str_('Avg Bwd Segment Size'), np.str_('Bwd Packet Length Mean'), np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Init_Win_bytes_backward'), np.str_('Packet Length Std'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Total Length of Bwd Packets')]"
51,tree_shap,Thursday-WorkingHours-Afternoon-Infilteration,30000,0.00016666666666666666,0.499966661110185,0.500033338889815,0.9680113352225372,0.0,0.9756460663434744,0.18595872875863,0.1823050351928649,"[np.str_('Average Packet Size'), np.str_('Avg Bwd Segment Size'), np.str_('Bwd Packet Length Mean'), np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Init_Win_bytes_backward'), np.str_('Packet Length Std'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Total Length of Bwd Packets')]"
51,tree_shap,Friday-WorkingHours-Morning,30000,0.02723333333333333,0.49998286673748416,0.5000171332625158,0.6247852208183945,0.0,0.986830553116769,0.18766340810177398,0.12706000510048354,"[np.str_('Average Packet Size'), np.str_('Avg Bwd Segment Size'), np.str_('Bwd Packet Length Mean'), np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Init_Win_bytes_backward'), np.str_('Packet Length Std'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Total Length of Bwd Packets')]"
51,tree_shap,Friday-WorkingHours-Afternoon-PortScan,30000,0.7569333333333333,0.500308261405672,0.499691738594328,0.9672226735600368,0.0,0.9324731839523609,0.1784858688651962,0.30552194417729783,"[np.str_('Average Packet Size'), np.str_('Avg Bwd Segment Size'), np.str_('Bwd Packet Length Mean'), np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Init_Win_bytes_backward'), np.str_('Packet Length Std'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Total Length of Bwd Packets')]"
51,tree_shap,Friday-WorkingHours-Afternoon-DDos,30000,0.5954666666666667,0.9983486341244963,0.0016513658755037408,0.9998049101155702,0.46153846153846156,0.9291140206893918,0.232705938693866,0.4050684295081501,"[np.str_('Average Packet Size'), np.str_('Avg Bwd Segment Size'), np.str_('Bwd Packet Length Max'), np.str_('Bwd Packet Length Mean'), np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Fwd Packet Length Max'), np.str_('Fwd Packet Length Std'), np.str_('Packet Length Std'), np.str_('Packet Length Variance')]"
51,lime,reference_validation,18000,0.1885,0.9993420908074487,0.0006579091925512648,0.9999997982306889,0.0,1.0,0.0,0.0,"[np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Fwd Header Length'), np.str_('Init_Win_bytes_backward'), np.str_('Init_Win_bytes_forward'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Subflow Bwd Packets'), np.str_('Total Backward Packets'), np.str_('min_seg_size_forward')]"
51,lime,Thursday-WorkingHours-Morning-WebAttacks,30000,0.031966666666666664,0.5109489051094891,0.4890510948905109,0.9950315470354217,0.0,0.8718555559796922,0.18586731053145356,0.13083599230450602,"[np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Fwd Header Length'), np.str_('Init_Win_bytes_backward'), np.str_('Init_Win_bytes_forward'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Subflow Bwd Packets'), np.str_('Total Backward Packets'), np.str_('min_seg_size_forward')]"
51,lime,Thursday-WorkingHours-Afternoon-Infilteration,30000,0.00016666666666666666,0.499966661110185,0.500033338889815,0.9680113352225372,0.0,0.8883078215062792,0.18595872875863,0.1823050351928649,"[np.str_('Bwd Packet Length Std'), np.str_('Destination Port'), np.str_('Fwd Header Length'), np.str_('Init_Win_bytes_backward'), np.str_('Init_Win_bytes_forward'), np.str_('Packet Length Variance'), np.str_('Subflow Bwd Bytes'), np.str_('Subflow Bwd Packets'), np.str_('Total Backward Packets'), np.str_('min_seg_size_forward')]"
