setting,method,shot,seed,group,group_external_id,group_degree,top1,top5,top10,mrr,rank
standard,random_uniform,5,13,HAFNIUM,G0125,44,0.0,0.0,0.0,0.005813953488372093,172.0
standard,frequency_prior,5,13,HAFNIUM,G0125,44,0.0,0.0,0.0,0.027777777777777776,36.0
standard,overlap_cosine,5,13,HAFNIUM,G0125,44,0.0,1.0,1.0,0.3333333333333333,3.0
standard,svd32_graph_embedding,5,13,HAFNIUM,G0125,44,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,MuddyWater,G0069,68,0.0,0.0,0.0,0.005813953488372093,172.0
standard,frequency_prior,5,13,MuddyWater,G0069,68,0.0,0.0,0.0,0.08333333333333333,12.0
standard,overlap_cosine,5,13,MuddyWater,G0069,68,0.0,0.0,0.0,0.09090909090909091,11.0
standard,svd32_graph_embedding,5,13,MuddyWater,G0069,68,0.0,0.0,0.0,0.06666666666666667,15.0
standard,random_uniform,5,13,Naikon,G0019,14,0.0,0.0,0.0,0.005780346820809248,173.0
standard,frequency_prior,5,13,Naikon,G0019,14,0.0,0.0,0.0,0.009708737864077669,103.0
standard,overlap_cosine,5,13,Naikon,G0019,14,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Naikon,G0019,14,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,FIN6,G0037,40,0.0,0.0,0.0,0.006172839506172839,162.0
standard,frequency_prior,5,13,FIN6,G0037,40,0.0,0.0,0.0,0.022222222222222223,45.0
standard,overlap_cosine,5,13,FIN6,G0037,40,0.0,1.0,1.0,0.3333333333333333,3.0
standard,svd32_graph_embedding,5,13,FIN6,G0037,40,0.0,1.0,1.0,0.3333333333333333,3.0
standard,random_uniform,5,13,Gamaredon Group,G0047,70,0.0,0.0,0.0,0.005952380952380952,168.0
standard,frequency_prior,5,13,Gamaredon Group,G0047,70,0.0,0.0,0.0,0.09090909090909091,11.0
standard,overlap_cosine,5,13,Gamaredon Group,G0047,70,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Gamaredon Group,G0047,70,0.0,1.0,1.0,0.5,2.0
standard,random_uniform,5,13,Storm-1811,G1046,31,0.0,0.0,0.0,0.06666666666666667,15.0
standard,frequency_prior,5,13,Storm-1811,G1046,31,0.0,0.0,0.0,0.01818181818181818,55.0
standard,overlap_cosine,5,13,Storm-1811,G1046,31,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Storm-1811,G1046,31,0.0,1.0,1.0,0.3333333333333333,3.0
standard,random_uniform,5,13,Leafminer,G0077,17,0.0,0.0,0.0,0.02857142857142857,35.0
standard,frequency_prior,5,13,Leafminer,G0077,17,0.0,0.0,0.0,0.011111111111111112,90.0
standard,overlap_cosine,5,13,Leafminer,G0077,17,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Leafminer,G0077,17,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,TeamTNT,G0139,56,0.0,0.0,1.0,0.16666666666666666,6.0
standard,frequency_prior,5,13,TeamTNT,G0139,56,0.0,0.0,0.0,0.043478260869565216,23.0
standard,overlap_cosine,5,13,TeamTNT,G0139,56,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,TeamTNT,G0139,56,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,FIN7,G0046,67,0.0,0.0,0.0,0.03225806451612903,31.0
standard,frequency_prior,5,13,FIN7,G0046,67,0.0,0.0,0.0,0.07142857142857142,14.0
standard,overlap_cosine,5,13,FIN7,G0046,67,0.0,0.0,1.0,0.1,10.0
standard,svd32_graph_embedding,5,13,FIN7,G0046,67,0.0,0.0,1.0,0.14285714285714285,7.0
standard,random_uniform,5,13,Sandworm Team,G0034,79,0.0,0.0,0.0,0.058823529411764705,17.0
standard,frequency_prior,5,13,Sandworm Team,G0034,79,0.0,0.0,1.0,0.14285714285714285,7.0
standard,overlap_cosine,5,13,Sandworm Team,G0034,79,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,Sandworm Team,G0034,79,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Machete,G0095,11,0.0,1.0,1.0,0.5,2.0
standard,frequency_prior,5,13,Machete,G0095,11,0.0,0.0,0.0,0.008771929824561403,114.0
standard,overlap_cosine,5,13,Machete,G0095,11,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Machete,G0095,11,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,APT18,G0026,12,0.0,0.0,0.0,0.021739130434782608,46.0
standard,frequency_prior,5,13,APT18,G0026,12,0.0,0.0,0.0,0.009345794392523364,107.0
standard,overlap_cosine,5,13,APT18,G0026,12,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,APT18,G0026,12,0.0,1.0,1.0,0.5,2.0
standard,random_uniform,5,13,Andariel,G0138,12,0.0,0.0,0.0,0.006329113924050633,158.0
standard,frequency_prior,5,13,Andariel,G0138,12,0.0,0.0,0.0,0.009259259259259259,108.0
standard,overlap_cosine,5,13,Andariel,G0138,12,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Andariel,G0138,12,0.0,1.0,1.0,0.5,2.0
standard,random_uniform,5,13,CURIUM,G1012,19,0.0,0.0,0.0,0.013333333333333334,75.0
standard,frequency_prior,5,13,CURIUM,G1012,19,0.0,0.0,0.0,0.012048192771084338,83.0
standard,overlap_cosine,5,13,CURIUM,G1012,19,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,CURIUM,G1012,19,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Sidewinder,G0121,30,0.0,0.0,0.0,0.017543859649122806,57.0
standard,frequency_prior,5,13,Sidewinder,G0121,30,0.0,0.0,0.0,0.017241379310344827,58.0
standard,overlap_cosine,5,13,Sidewinder,G0121,30,0.0,1.0,1.0,0.3333333333333333,3.0
standard,svd32_graph_embedding,5,13,Sidewinder,G0121,30,0.0,0.0,0.0,0.09090909090909091,11.0
standard,random_uniform,5,13,Mustang Panda,G0129,85,0.0,0.0,0.0,0.03225806451612903,31.0
standard,frequency_prior,5,13,Mustang Panda,G0129,85,0.0,1.0,1.0,0.25,4.0
standard,overlap_cosine,5,13,Mustang Panda,G0129,85,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,Mustang Panda,G0129,85,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,ZIRCONIUM,G0128,29,0.0,0.0,0.0,0.08333333333333333,12.0
standard,frequency_prior,5,13,ZIRCONIUM,G0128,29,0.0,0.0,0.0,0.016666666666666666,60.0
standard,overlap_cosine,5,13,ZIRCONIUM,G0128,29,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,ZIRCONIUM,G0128,29,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Rocke,G0106,36,0.0,0.0,0.0,0.022727272727272728,44.0
standard,frequency_prior,5,13,Rocke,G0106,36,0.0,0.0,0.0,0.020833333333333332,48.0
standard,overlap_cosine,5,13,Rocke,G0106,36,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Rocke,G0106,36,0.0,1.0,1.0,0.5,2.0
standard,random_uniform,5,13,Scattered Spider,G1015,64,0.0,0.0,0.0,0.006211180124223602,161.0
standard,frequency_prior,5,13,Scattered Spider,G1015,64,0.0,0.0,0.0,0.0625,16.0
standard,overlap_cosine,5,13,Scattered Spider,G1015,64,0.0,0.0,1.0,0.16666666666666666,6.0
standard,svd32_graph_embedding,5,13,Scattered Spider,G1015,64,0.0,1.0,1.0,0.25,4.0
standard,random_uniform,5,13,APT39,G0087,53,0.0,0.0,0.0,0.013513513513513514,74.0
standard,frequency_prior,5,13,APT39,G0087,53,0.0,0.0,0.0,0.038461538461538464,26.0
standard,overlap_cosine,5,13,APT39,G0087,53,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,APT39,G0087,53,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,UNC3886,G1048,49,0.0,0.0,0.0,0.006944444444444444,144.0
standard,frequency_prior,5,13,UNC3886,G1048,49,0.0,0.0,0.0,0.034482758620689655,29.0
standard,overlap_cosine,5,13,UNC3886,G1048,49,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,UNC3886,G1048,49,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Contagious Interview,G1052,54,0.0,0.0,0.0,0.012658227848101266,79.0
standard,frequency_prior,5,13,Contagious Interview,G1052,54,0.0,0.0,0.0,0.04,25.0
standard,overlap_cosine,5,13,Contagious Interview,G1052,54,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Contagious Interview,G1052,54,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,TA2541,G1018,28,0.0,0.0,0.0,0.038461538461538464,26.0
standard,frequency_prior,5,13,TA2541,G1018,28,0.0,0.0,0.0,0.015873015873015872,63.0
standard,overlap_cosine,5,13,TA2541,G1018,28,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,TA2541,G1018,28,0.0,1.0,1.0,0.3333333333333333,3.0
standard,random_uniform,5,13,Akira,G1024,17,0.0,0.0,0.0,0.008771929824561403,114.0
standard,frequency_prior,5,13,Akira,G1024,17,0.0,0.0,0.0,0.011363636363636364,88.0
standard,overlap_cosine,5,13,Akira,G1024,17,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Akira,G1024,17,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,APT37,G0067,29,0.0,0.0,0.0,0.00909090909090909,110.0
standard,frequency_prior,5,13,APT37,G0067,29,0.0,0.0,0.0,0.01639344262295082,61.0
standard,overlap_cosine,5,13,APT37,G0067,29,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,APT37,G0067,29,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Moses Staff,G1009,12,0.0,0.0,0.0,0.010416666666666666,96.0
standard,frequency_prior,5,13,Moses Staff,G1009,12,0.0,0.0,0.0,0.008928571428571428,112.0
standard,overlap_cosine,5,13,Moses Staff,G1009,12,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Moses Staff,G1009,12,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,OilRig,G0049,76,0.0,0.0,0.0,0.01818181818181818,55.0
standard,frequency_prior,5,13,OilRig,G0049,76,0.0,0.0,1.0,0.1,10.0
standard,overlap_cosine,5,13,OilRig,G0049,76,0.0,1.0,1.0,0.2,5.0
standard,svd32_graph_embedding,5,13,OilRig,G0049,76,0.0,1.0,1.0,0.25,4.0
standard,random_uniform,5,13,Higaisa,G0126,28,0.0,0.0,0.0,0.02040816326530612,49.0
standard,frequency_prior,5,13,Higaisa,G0126,28,0.0,0.0,0.0,0.015625,64.0
standard,overlap_cosine,5,13,Higaisa,G0126,28,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,Higaisa,G0126,28,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Tropic Trooper,G0081,40,1.0,1.0,1.0,1.0,1.0
standard,frequency_prior,5,13,Tropic Trooper,G0081,40,0.0,0.0,0.0,0.023255813953488372,43.0
standard,overlap_cosine,5,13,Tropic Trooper,G0081,40,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,Tropic Trooper,G0081,40,0.0,1.0,1.0,0.5,2.0
standard,random_uniform,5,13,Sea Turtle,G1041,27,0.0,0.0,0.0,0.014925373134328358,67.0
standard,frequency_prior,5,13,Sea Turtle,G1041,27,0.0,0.0,0.0,0.014705882352941176,68.0
standard,overlap_cosine,5,13,Sea Turtle,G1041,27,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Sea Turtle,G1041,27,1.0,1.0,1.0,1.0,1.0
