seed,condition,arm,macro_f1,stage_weighted_error,movement_recall,movement_f1,movement_any_attack_recall,exfil_recall,exfil_f1,exfil_ap,normal_false_attacks,context_selected_fraction,context_harm_count,context_help_count
20260924,stale_5min,stage_harm_gate,0.7606190170759937,0.024017991869059174,0.7428571428571429,0.29714285714285715,0.7428571428571429,0.6731551423590936,0.7631752305665349,0.6878716061190627,107,0.003171643584149471,9,47
20260924,stale_5min,context_dropout,0.7625240760182146,0.02388824281334397,0.4857142857142857,0.3063063063063063,0.4857142857142857,0.674607786170831,0.7618110236220472,0.8442481726439456,66,,,
20260924,wrong_host,current_roles,0.7589663259346022,0.024099685718953934,0.7428571428571429,0.29545454545454547,0.7428571428571429,0.6751888436955259,0.7597254004576659,0.6890127447424923,117,,,
20260924,wrong_host,context,0.4649882680542352,0.07810412601997174,0.0,0.0,0.0,0.6673445671121441,0.7573359709858226,0.684436700973178,0,,,
20260924,wrong_host,fixed_fusion,0.718093230417572,0.024522571530173863,0.11428571428571428,0.12903225806451613,0.11428571428571428,0.6725740848343986,0.7651627830110725,0.6811560789135789,23,,,
20260924,wrong_host,confidence_gate,0.7181039824367059,0.02478687516218632,0.11428571428571428,0.12903225806451613,0.11428571428571428,0.6725740848343986,0.7677002155529763,0.6977002796382573,23,0.7866781358424558,145,95
20260924,wrong_host,ordinary_gate,0.7262137248123385,0.024090074677789845,0.14285714285714285,0.16393442622950818,0.14285714285714285,0.674607786170831,0.7600654664484452,0.6887427237800814,23,0.001037992445721645,23,94
20260924,wrong_host,stage_harm_gate,0.7410375001495676,0.024512960489009774,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.668506682161534,0.7612903225806451,0.6861192082365083,47,0.0028256461022422557,39,70
20260924,wrong_host,context_dropout,0.7677457864026695,0.024090074677789845,0.6857142857142857,0.3333333333333333,0.6857142857142857,0.6751888436955259,0.7572499185402412,0.6812731629369846,103,,,
20260925,clean,current_roles,0.7491564610421154,0.024315934145145945,0.8285714285714286,0.2600896860986547,0.8285714285714286,0.6751888436955259,0.7562642369020501,0.68665641557786,166,,,
20260925,clean,context,0.770708443532791,0.024017991869059174,0.6285714285714286,0.3384615384615385,0.6285714285714286,0.6717024985473562,0.7629104108232965,0.9227203198485083,52,,,
20260925,clean,fixed_fusion,0.7555105736373741,0.024027602910223263,0.7142857142857143,0.2777777777777778,0.7142857142857143,0.674607786170831,0.7626868122844473,0.7320623966452042,111,,,
20260925,clean,confidence_gate,0.7547461463542638,0.024037213951387353,0.7142857142857143,0.27472527472527475,0.7142857142857143,0.674607786170831,0.7626868122844473,0.9054519070815448,113,0.6159668226859015,10,86
20260925,clean,ordinary_gate,0.7528372532714835,0.024248656856997317,0.8,0.2692307692307692,0.8,0.6719930273097037,0.7604800263028111,0.68208325174674,137,0.007222697434813114,14,64
20260925,clean,stage_harm_gate,0.7465662875197248,0.024253462377579364,0.8571428571428571,0.24390243902439024,0.8571428571428571,0.673445671121441,0.7607482769937643,0.6859801352897904,166,0.001494516901015887,7,35
20260925,clean,context_dropout,0.7556818632558819,0.023965131142656686,0.6285714285714286,0.27848101265822783,0.6285714285714286,0.674026728646136,0.7624055208675649,0.8665243156839615,83,,,
20260925,missing_half,current_roles,0.7491564610421154,0.024315934145145945,0.8285714285714286,0.2600896860986547,0.8285714285714286,0.6751888436955259,0.7562642369020501,0.68665641557786,166,,,
20260925,missing_half,context,0.6553749675230838,0.0533364729401136,0.2857142857142857,0.2247191011235955,0.2857142857142857,0.6708309122603138,0.7650762094102055,0.7407400177107558,31,,,
20260925,missing_half,fixed_fusion,0.7508923119602705,0.024142935404192337,0.5142857142857142,0.2608695652173913,0.5142857142857142,0.674026728646136,0.7619047619047619,0.7060037101147292,80,,,
20260925,missing_half,confidence_gate,0.7509658443978726,0.02414774092477438,0.5142857142857142,0.2608695652173913,0.5142857142857142,0.6737361998837885,0.7620768977982254,0.7428910557111285,80,0.5813382413716878,22,105
20260925,missing_half,ordinary_gate,0.7517650186667633,0.02437360039213048,0.7428571428571429,0.2653061224489796,0.7428571428571429,0.6717024985473562,0.7607765712405397,0.6819282010651213,137,0.007578305957884417,17,50
20260925,missing_half,stage_harm_gate,0.7481736656920224,0.024296712062817766,0.8571428571428571,0.25210084033613445,0.8571428571428571,0.6737361998837885,0.7595807402554864,0.6860371276024297,165,0.0008217440195296356,6,22
20260925,missing_half,context_dropout,0.7514862278108018,0.024051630513133488,0.6285714285714286,0.2634730538922156,0.6285714285714286,0.674607786170831,0.7608125819134993,0.7458002406032658,106,,,
20260925,missing_all,current_roles,0.7491564610421154,0.024315934145145945,0.8285714285714286,0.2600896860986547,0.8285714285714286,0.6751888436955259,0.7562642369020501,0.68665641557786,166,,,
20260925,missing_all,context,0.4332676806399642,0.08219362403529175,0.0,0.0,0.0,0.6702498547356188,0.766572520352218,0.6945109753450417,0,,,
20260925,missing_all,fixed_fusion,0.7345349913590312,0.024277489980489588,0.2571428571428571,0.1978021978021978,0.2571428571428571,0.674026728646136,0.7605310604818882,0.6956815439308378,47,,,
20260925,missing_all,confidence_gate,0.7347084508043629,0.02429190654223572,0.2571428571428571,0.1978021978021978,0.2571428571428571,0.6737361998837885,0.7612013786312162,0.6909689530307528,47,0.548646284852038,39,119
