dataset,condition,perturbation_seed,arm,rows,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error,context_selected_fraction
casino,random_50,20260922,confidence_gate,920,17,0.1595744680851064,0.8823529411764706,0.2702702702702703,0.7022500969578549,0.9737476385903199,79,0.08748615725359911,0.09456521739130434,0.6010869565217392
casino,random_50,20260922,ordinary_gate,920,17,0.14035087719298245,0.9411764705882353,0.24427480916030533,0.7177073741563026,0.976483616702495,98,0.10852713178294573,0.1108695652173913,0.5619565217391305
casino,random_50,20260922,target_cost_gate,920,17,0.20270270270270271,0.8823529411764706,0.32967032967032966,0.7246267068015182,0.9760927626864699,59,0.06533776301218161,0.07282608695652174,0.5891304347826087
casino,random_75,20260920,current,920,17,0.056962025316455694,0.5294117647058824,0.10285714285714286,0.39260941305993563,0.7441534753436259,149,0.16500553709856036,0.1967391304347826,
casino,random_75,20260920,context,920,17,0.07547169811320754,0.47058823529411764,0.13008130081300814,0.45776902611420917,0.7438929059996091,98,0.10852713178294573,0.14565217391304347,
casino,random_75,20260920,fixed_fusion,920,17,0.06716417910447761,0.5294117647058824,0.11920529801324503,0.40945754781190025,0.7461728877597551,125,0.13842746400885936,0.17065217391304346,
casino,random_75,20260920,mixed_dropout,920,17,0.08791208791208792,0.47058823529411764,0.14814814814814814,0.4947104036681211,0.7666927236010684,83,0.09191583610188261,0.12934782608695652,
casino,random_75,20260920,confidence_gate,920,17,0.06716417910447761,0.5294117647058824,0.11920529801324503,0.3983158471161139,0.744283760015634,125,0.13842746400885936,0.17065217391304346,0.3923913043478261
casino,random_75,20260920,ordinary_gate,920,17,0.056962025316455694,0.5294117647058824,0.10285714285714286,0.4585600057990803,0.748062015503876,149,0.16500553709856036,0.1967391304347826,0.43369565217391304
casino,random_75,20260920,target_cost_gate,920,17,0.07547169811320754,0.47058823529411764,0.13008130081300814,0.4582617763508846,0.7474105921438343,98,0.10852713178294573,0.14565217391304347,0.5032608695652174
casino,random_75,20260921,current,920,17,0.08,0.7058823529411765,0.1437125748502994,0.5015141782662651,0.792717086834734,138,0.15282392026578073,0.17173913043478262,
casino,random_75,20260921,context,920,17,0.12087912087912088,0.6470588235294118,0.2037037037037037,0.5474870892372454,0.798547325907107,80,0.08859357696567,0.11304347826086956,
casino,random_75,20260921,fixed_fusion,920,17,0.09649122807017543,0.6470588235294118,0.16793893129770993,0.5252005097858692,0.7953553514429028,103,0.11406423034330011,0.13804347826086957,
casino,random_75,20260921,mixed_dropout,920,17,0.12987012987012986,0.5882352941176471,0.2127659574468085,0.5379471113333646,0.809230669011791,67,0.07419712070874862,0.10326086956521739,
casino,random_75,20260921,confidence_gate,920,17,0.09649122807017543,0.6470588235294118,0.16793893129770993,0.5011944321450175,0.7934336525307797,103,0.11406423034330011,0.13804347826086957,0.44565217391304346
casino,random_75,20260921,ordinary_gate,920,17,0.08,0.7058823529411765,0.1437125748502994,0.5481250132219307,0.7974073350270341,138,0.15282392026578073,0.17173913043478262,0.4532608695652174
casino,random_75,20260921,target_cost_gate,920,17,0.12087912087912088,0.6470588235294118,0.2037037037037037,0.5473596094714523,0.7962999153149632,80,0.08859357696567,0.11304347826086956,0.525
casino,random_75,20260922,current,920,17,0.08839779005524862,0.9411764705882353,0.16161616161616163,0.6282702711279106,0.924109178555143,165,0.18272425249169436,0.18369565217391304,
casino,random_75,20260922,context,920,17,0.14414414414414414,0.9411764705882353,0.25,0.7291508656662626,0.9332291055957267,95,0.10520487264673312,0.10760869565217392,
casino,random_75,20260922,fixed_fusion,920,17,0.12213740458015267,0.9411764705882353,0.21621621621621623,0.7100297186591997,0.9297765617875056,115,0.1273532668881506,0.12934782608695652,
casino,random_75,20260922,mixed_dropout,920,17,0.15730337078651685,0.8235294117647058,0.2641509433962264,0.7560014864362691,0.9258680216272557,75,0.08305647840531562,0.09456521739130434,
casino,random_75,20260922,confidence_gate,920,17,0.12213740458015267,0.9411764705882353,0.21621621621621623,0.6774863215620779,0.9273011530193472,115,0.1273532668881506,0.12934782608695652,0.46195652173913043
casino,random_75,20260922,ordinary_gate,920,17,0.08839779005524862,0.9411764705882353,0.16161616161616163,0.7191749874900947,0.9311445508435934,165,0.18272425249169436,0.18369565217391304,0.45869565217391306
casino,random_75,20260922,target_cost_gate,920,17,0.14414414414414414,0.9411764705882353,0.25,0.7291508656662625,0.9332291055957267,95,0.10520487264673312,0.10760869565217392,0.5608695652173913
casino,support_burst_60,20260920,current,920,17,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8674180483004013,0.960719171389486,7,0.007751937984496124,0.020652173913043477,
casino,support_burst_60,20260920,context,920,17,0.42857142857142855,0.8823529411764706,0.5769230769230769,0.8499592386998316,0.9646928538857403,20,0.0221483942414175,0.030434782608695653,
casino,support_burst_60,20260920,fixed_fusion,920,17,0.5555555555555556,0.8823529411764706,0.6818181818181818,0.8644181042905092,0.964953423229757,12,0.013289036544850499,0.021739130434782608,
casino,support_burst_60,20260920,mixed_dropout,920,17,0.32558139534883723,0.8235294117647058,0.4666666666666667,0.8161339207800307,0.956484919549215,29,0.03211517165005537,0.04456521739130435,
casino,support_burst_60,20260920,confidence_gate,920,17,0.5555555555555556,0.8823529411764706,0.6818181818181818,0.8581027891382543,0.9616311640935444,12,0.013289036544850499,0.021739130434782608,0.6032608695652174
casino,support_burst_60,20260920,ordinary_gate,920,17,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8629539081330349,0.9617614487655527,7,0.007751937984496124,0.020652173913043477,0.5456521739130434
casino,support_burst_60,20260920,target_cost_gate,920,17,0.42857142857142855,0.8823529411764706,0.5769230769230769,0.8518473338509428,0.9590906129893817,20,0.0221483942414175,0.030434782608695653,0.3108695652173913
casino,command_records_absent,20260920,current,920,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.671435855944523,0.9414044687642499,93,0.10299003322259136,0.11413043478260869,
casino,command_records_absent,20260920,context,920,17,0.25,0.6470588235294118,0.36065573770491804,0.6318686814605169,0.9478535600286627,33,0.036544850498338874,0.06195652173913044,
casino,command_records_absent,20260920,fixed_fusion,920,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.6423910506560649,0.9510455344928669,29,0.03211517165005537,0.05326086956521739,
casino,command_records_absent,20260920,mixed_dropout,920,17,0.12173913043478261,0.8235294117647058,0.21212121212121213,0.6938520721519061,0.9415347534362583,101,0.11184939091915837,0.12282608695652174,
casino,command_records_absent,20260920,confidence_gate,920,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.6722448182164213,0.9496124031007752,29,0.03211517165005537,0.05326086956521739,0.7608695652173914
casino,command_records_absent,20260920,ordinary_gate,920,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.6367861600787779,0.9505895381408378,93,0.10299003322259136,0.11413043478260869,0.6391304347826087
casino,command_records_absent,20260920,target_cost_gate,920,17,0.25,0.6470588235294118,0.36065573770491804,0.6339185205126674,0.9479512735326688,33,0.036544850498338874,0.06195652173913044,0.75
casino,delay_30_deadline_0,20260920,current,920,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.671435855944523,0.9414044687642499,93,0.10299003322259136,0.11413043478260869,
casino,delay_30_deadline_0,20260920,context,920,17,0.2619047619047619,0.6470588235294118,0.3728813559322034,0.6224080807189655,0.9504592534688294,31,0.03433001107419712,0.059782608695652176,
casino,delay_30_deadline_0,20260920,fixed_fusion,920,17,0.3157894736842105,0.7058823529411765,0.43636363636363634,0.6427390102461589,0.9525438082209629,26,0.028792912513842746,0.05,
